ko_term,match_priority,lang,term_text,back_translation_ko
가격역지정 주문,219,vie_Latn,Lệnh đặt giá ngược,가격 정반대의 명령
가격우선의 원칙,220,vie_Latn,Nguyên tắc ưu tiên giá cả,가격 우선 원칙
가격제한폭,574,vie_Latn,Mức dao động giá tối đa,최대 가격 변동
가교은행,749,vie_Latn,Ngân hàng trung gian,중앙은행
가산금리,750,vie_Latn,Lãi suất cộng thêm,이산화탄소
가격역지정 주문,219,ind_Latn,Pesanan dengan Harga yang Ditentukan,정해진 가격으로 주문
가격우선의 원칙,220,ind_Latn,Prinsip prioritas harga,가격 우선 원칙
가격제한폭,574,ind_Latn,Batas fluktuasi harga,가격 변동 제한
가교은행,749,ind_Latn,Bank Jembatan,브리지 뱅크
가산금리,750,ind_Latn,Suku bunga tambahan,추가 금리
가격역지정 주문,219,tha_Thai,คำสั่งหยุด-จำกัด,정지 명령
가격우선의 원칙,220,tha_Thai,หลักการให้ความสำคัญกับราคา,이 원칙은 가격에 초점을 맞추고 있습니다.
가격제한폭,574,tha_Thai,ช่วงราคาสูงสุดและต่ำสุด,가장 높은 가격대와 가장 낮은 가격대
가교은행,749,tha_Thai,ธนาคารสะพาน,브릿지 은행
가산금리,750,tha_Thai,อัตราดอกเบี้ยเพิ่มเติม,이자율을 높여서
가격역지정 주문,219,mya_Mymr,ကုန်ကျစရိတ် သတ်မှတ်ချက်။,비용입니다.
가격우선의 원칙,220,mya_Mymr,ဈေးနှုန်း မြင့်မားမှု မူဝါဒ,물가 상승 정책
가격제한폭,574,mya_Mymr,ကုန်ကျစရိတ် ကန့်သတ်ချက်,비용 제한
가교은행,749,mya_Mymr,ချိတ်ဆက်ရေး ဘဏ်,연결 은행
가산금리,750,mya_Mymr,အိမ်မွေးတိရစ္ဆာန်,애완동물
가격역지정 주문,219,tgl_Latn,Mga order sa presyo,가격 주문
가격우선의 원칙,220,tgl_Latn,Ang Prinsipyo ng Pagmamay-ari ng presyo,가격 소유 원칙
가격제한폭,574,tgl_Latn,Mga limitasyon sa presyo,가격 제한
가교은행,749,tgl_Latn,Ang mga bangko ng sasakyan,차량의 좌석
가산금리,750,tgl_Latn,Pag-aalaga ng mga hayop,동물 보호
가쇄,1254,vie_Latn,Chuỗi,사슬
가압류,1101,vie_Latn,Tạm giữ tài sản,재산 감금
가중주가평균,389,vie_Latn,Trung bình giá trị gia quyền,평균 소유 가치
간사단,1102,vie_Latn,Ban thư ký,비서실
간사회사,751,vie_Latn,Công ty quản lý quỹ,펀드 관리 회사
간접공시,752,vie_Latn,Công bố gián tiếp,간접 발표
간접금융,753,vie_Latn,Tài chính gián tiếp,간접 금융
간접모집,754,vie_Latn,Tuyển dụng gián tiếp,간접 채용
간접발행,755,vie_Latn,Phát hành gián tiếp,간접 배포
간접점유,756,vie_Latn,Sở hữu gián tiếp,간접 소유
간접참가자,575,vie_Latn,Người tham gia gián tiếp,간접 참여자
간주,1255,vie_Latn,coi là,
감리대상종목,390,vie_Latn,Các mặt hàng thuộc đối tượng giám sát,감시 대상 물품
감자차익,757,vie_Latn,Lợi nhuận từ chênh lệch giá khoai tây,감자 가격 차이로부터의 이익
감채기금,758,vie_Latn,Quỹ Gamchae,Gamchae 재단
감채기금부채권,306,vie_Latn,Trái phiếu từ Quỹ hỗ trợ nông nghiệp,농업 지원 기금의 채권
강세장,1103,vie_Latn,Thị trường tăng giá,시장의 가격 상승
강제매수,759,vie_Latn,Mua bắt buộc,필수 구매
개발신탁,760,vie_Latn,Quỹ phát triển,개발 기금
개방식 담보사채,221,vie_Latn,Trái phiếu có bảo đảm mở,유가증권은 공개됩니다.
개방형 리포,391,vie_Latn,Báo cáo mở,공개된 보고서
개방형 투자신탁,222,vie_Latn,Quỹ đầu tư mở,오픈투자펀드
개별결제,761,vie_Latn,Thanh toán riêng lẻ,개별 결제
개별경쟁매매,392,vie_Latn,Giao dịch cạnh tranh riêng lẻ,개별 경쟁 거래
개시증거금,576,vie_Latn,Khoản ký quỹ ban đầu,초기 보증금
거래량비율,577,vie_Latn,Tỷ lệ khối lượng giao dịch,거래량 비율
거래량회전율,393,vie_Latn,Tỷ lệ luân chuyển khối lượng giao dịch,거래량 회전율
거래성립률,578,vie_Latn,Tỷ lệ giao dịch thành công,거래 성공률
거래소 시장,394,vie_Latn,Thị trường sàn giao dịch,거래소 시장
거래소 회원,395,vie_Latn,Thành viên sàn giao dịch,거래소 회원
거래취소,762,vie_Latn,Hủy giao dịch,거래 취소
건설이자,763,vie_Latn,Lãi suất cho vay xây dựng,건설 대출의 이자율
겐사끼시장,579,vie_Latn,Chợ Gensaki,겐사키 시장
격탁매매,764,vie_Latn,Giao dịch chênh lệch giá,가격 차이 거래
견양증권,765,vie_Latn,Gyeonyang Securities,경남증권
결산,1256,vie_Latn,Báo cáo tài chính,재무보고서
결산보고서,580,vie_Latn,Báo cáo tài chính,재무보고서
결제기구,766,vie_Latn,Tổ chức thanh toán,결제 기관
결제기금,767,vie_Latn,Quỹ thanh toán,결제기금
결제대금주선제도,223,vie_Latn,Chế độ hỗ trợ thanh toán,지불 지원 모드
결제대용증,581,vie_Latn,Giấy chứng nhận thanh toán,결제 증명서
결제리스크 관리제도,139,vie_Latn,Hệ thống quản lý rủi ro thanh toán,결제 위험 관리 시스템
결제불이행거래,307,vie_Latn,Giao dịch không thanh toán,결제되지 않은 거래
결제순서조작,396,vie_Latn,Thao túng trình tự thanh toán,결제 순서를 틀어
결제시한,768,vie_Latn,Hạn chót thanh toán,결제 기간
결제시한,769,vie_Latn,Hạn chót thanh toán,결제 기간
결제위험의 비대칭성,140,vie_Latn,Tính bất đối xứng của rủi ro thanh toán,결제 위험의 비대칭성
결제은행제도,397,vie_Latn,Hệ thống ngân hàng thanh toán,결제 은행 시스템
결제일,1104,vie_Latn,Ngày thanh toán,결제일
결제적체현상,398,vie_Latn,Tình trạng ùn tắc thanh toán,결제 정지 상태
결제전 예납,399,vie_Latn,Thanh toán trước khi thanh toán,지불하기 전에 지불
결제후 업무처리,224,vie_Latn,Xử lý công việc sau khi thanh toán,지불 후 작업 처리
결제후 업무처리,225,vie_Latn,Xử lý công việc sau khi thanh toán,지불 후 작업 처리
겸업주의,770,vie_Latn,Nguyên tắc kiêm nhiệm,원칙과 임무
경개,1257,vie_Latn,Cảnh quan,풍경
경개적 차감,400,vie_Latn,Khấu trừ theo tỷ lệ cố định,일정한 비율로 마감
경과이자,771,vie_Latn,Lãi suất lũy tiến,이산화탄소
경기종합지수,401,vie_Latn,Chỉ số tổng hợp Gyeonggi,경기도 합성 지수
경상수지,772,vie_Latn,Cán cân vãng lai,융복합 계측
경쟁매매,773,vie_Latn,Giao dịch cạnh tranh,경쟁적인 거래
경제통합,774,vie_Latn,Hội nhập kinh tế,경제 통합
경제협력개발기구,226,vie_Latn,Tổ chức Hợp tác và Phát triển Kinh tế,경제협력개발기구
계약,1258,vie_Latn,Hợp đồng,계약
계약형투자신탁,308,vie_Latn,Quỹ đầu tư theo hợp đồng,계약 투자 기금
계절주,1105,vie_Latn,Rượu theo mùa,계절별 와인
계좌대체,775,vie_Latn,Thay đổi tài khoản,계정 변경
