term,grade,sense,ko_sentence,lang,translation,label,provider,labse_filter_pass
가쇄,1등급,financial,주권 발행을 앞두고 통일규격 증권용지에 대한 가쇄 작업이 완료되어 한국예탁결제원의 최종 날인 절차만 남았습니다.,vie_Latn,"Trước khi phát hành chứng khoán, công việc gạ sủa trên giấy chứng khoán tiêu chuẩn thống nhất đã được hoàn thành, chỉ còn lại thủ tục đóng dấu cuối cùng của Korea Securities Depository.",pos,groq,True
가쇄,1등급,financial,주권 발행을 앞두고 통일규격 증권용지에 대한 가쇄 작업이 완료되어 한국예탁결제원의 최종 날인 절차만 남았습니다.,ind_Latn,"Menjelang penerbitan saham, pekerjaan pencetakan pada kertas sekuritas standar telah selesai, sehingga hanya prosedur cap akhir Korea Securities Depository yang tersisa.",pos,groq,True
가쇄,1등급,financial,주권 발행을 앞두고 통일규격 증권용지에 대한 가쇄 작업이 완료되어 한국예탁결제원의 최종 날인 절차만 남았습니다.,tha_Thai,ก่อนการออกหุ้นกู้ การทำการพิมพ์บนกระดาษหลักทรัพย์มาตรฐานที่กำหนดได้เสร็จสิ้นแล้ว เหลือเพียงขั้นตอนการประทับตราครั้งสุดท้ายของสำนักงานฝากและชำระหลักทรัพย์เกาหลีเท่านั้น.,pos,groq,True
가쇄,1등급,financial,주권 발행을 앞두고 통일규격 증권용지에 대한 가쇄 작업이 완료되어 한국예탁결제원의 최종 날인 절차만 남았습니다.,tgl_Latn,"Sa paglapit ng pag-isyu ng mga sovereign, natapos na ang pag-imprenta ng mga detalye sa standardized na papel ng securities, at natitira na lamang ang huling proseso ng pagpirma ng Korea Securities Depository.",pos,groq,True
가쇄,1등급,financial,주권 발행을 앞두고 통일규격 증권용지에 대한 가쇄 작업이 완료되어 한국예탁결제원의 최종 날인 절차만 남았습니다.,mya_Mymr,အစုရှယ်ယာလက်မှတ် ထုတ်ပေးမည့်အခါ၊ အထွေထွေ စံချိန် စာရွက်ပေါ်တွင် အချက်အလက်များကို ပုံနှိပ်ခြင်း အလုပ် ပြီးစီးပြီး၊ ကိုရီးယား စာရင်းသွင်းဦး၏ နောက်ဆုံး လက်မှတ်ထိုးခြင်း လုပ်ငန်းသာ ကျန်ရှိနေပါသည်။,pos,groq,True
가쇄,1등급,financial,이번 회사채 발행 과정에서 가쇄 단계의 기재사항 오류가 발견되어 윤곽인쇄 용지를 다시 수령하기로 결정했습니다.,vie_Latn,"Trong quá trình phát hành trái phiếu công ty lần này, đã phát hiện lỗi trong các mục ghi ở giai đoạn in sơ khởi, nên quyết định nhận lại giấy in mẫu.",pos,groq,True
가쇄,1등급,financial,이번 회사채 발행 과정에서 가쇄 단계의 기재사항 오류가 발견되어 윤곽인쇄 용지를 다시 수령하기로 결정했습니다.,ind_Latn,"Dalam proses penerbitan obligasi perusahaan kali ini, ditemukan kesalahan pada data yang dicetak pada tahap gashwe, sehingga diputuskan untuk mengambil kembali kertas cetak kontur.",pos,groq,True
가쇄,1등급,financial,이번 회사채 발행 과정에서 가쇄 단계의 기재사항 오류가 발견되어 윤곽인쇄 용지를 다시 수령하기로 결정했습니다.,tha_Thai,ในกระบวนการออกหุ้นกู้ของบริษัทครั้งนี้ พบข้อผิดพลาดในข้อมูลของขั้นตอนการพิมพ์ (가쇄) จึงตัดสินใจรับกระดาษพิมพ์โครงร่างใหม่.,pos,groq,True
가쇄,1등급,financial,이번 회사채 발행 과정에서 가쇄 단계의 기재사항 오류가 발견되어 윤곽인쇄 용지를 다시 수령하기로 결정했습니다.,tgl_Latn,"Sa prosesong ito ng pag‑isyu ng corporate bond, natuklasan ang pagkakamali sa mga detalye sa yugto ng gashwe, kaya napagpasyahan naming muling kunin ang papel na may outline printing.",pos,groq,True
가쇄,1등급,financial,이번 회사채 발행 과정에서 가쇄 단계의 기재사항 오류가 발견되어 윤곽인쇄 용지를 다시 수령하기로 결정했습니다.,mya_Mymr,ဤကုမ္ပဏီအကြွေးထုတ်လုပ်မှုလုပ်ငန်းစဉ်တွင် 가쇄 အဆင့်တွင် အချက်အလက်မှားယွင်းမှုတစ်ခုတွေ့ရှိခဲ့ပြီး၊ အကြမ်းဖျဉ်းပုံနှင့် ပုံနှိပ်စာရွက်ကို ထပ်မံလက်ခံရန် ဆုံးဖြတ်ခဲ့သည်။,pos,groq,True
가쇄,1등급,nonfinancial,가쇄에 묶인 듯한 일상에 지쳐 버렸다.,vie_Latn,Tôi đã kiệt sức vì cuộc sống thường ngày như bị trói buộc trong xiềng xích.,neg,groq,True
가쇄,1등급,nonfinancial,가쇄에 묶인 듯한 일상에 지쳐 버렸다.,ind_Latn,Aku lelah dengan rutinitas yang terasa terikat oleh belenggu.,neg,groq,True
가쇄,1등급,nonfinancial,가쇄에 묶인 듯한 일상에 지쳐 버렸다.,tha_Thai,ฉันเหนื่อยล้ากับชีวิตประจำวันที่เหมือนถูกมัดไว้ในโซ่,neg,groq,True
가쇄,1등급,nonfinancial,가쇄에 묶인 듯한 일상에 지쳐 버렸다.,tgl_Latn,Napagod na ako sa pang-araw-araw na tila nakagapos sa tanikala.,neg,groq,True
가쇄,1등급,nonfinancial,가쇄에 묶인 듯한 일상에 지쳐 버렸다.,mya_Mymr,အကျွံတံဖြင့် ပိတ်ထားသလို ခံစားရသော နေ့စဉ်ဘဝကြောင့် စိတ်ပင်ပန်းသွားပြီ။,neg,groq,True
가쇄,1등급,nonfinancial,그는 가쇄를 끊고 새로운 길을 찾아 나섰다.,vie_Latn,Anh ấy đã đứt xiềng xích và lên đường tìm một con đường mới.,neg,groq,True
가쇄,1등급,nonfinancial,그는 가쇄를 끊고 새로운 길을 찾아 나섰다.,ind_Latn,Dia memutus belenggu dan memulai mencari jalan baru.,neg,groq,True
가쇄,1등급,nonfinancial,그는 가쇄를 끊고 새로운 길을 찾아 나섰다.,tha_Thai,เขาตัดโซ่และออกเดินทางเพื่อค้นหาเส้นทางใหม่,neg,groq,True
가쇄,1등급,nonfinancial,그는 가쇄를 끊고 새로운 길을 찾아 나섰다.,tgl_Latn,Pinutol niya ang mga tanikala at naghanap ng bagong landas.,neg,groq,True
가쇄,1등급,nonfinancial,그는 가쇄를 끊고 새로운 길을 찾아 나섰다.,mya_Mymr,သူသည် အကွပ်အတည်းကို ဖြတ်တောက်ပြီး အသစ်သော လမ်းကို ရှာဖွေထွက်သွားခဲ့သည်။,neg,groq,True
가쇄,1등급,nonfinancial,가쇄 같은 억압을 벗어나면 진정한 자유를 맛볼 수 있다.,vie_Latn,"Nếu thoát khỏi những áp bức giống như xiềng xích, bạn sẽ có thể nếm trải tự do thực sự.",neg,groq,True
가쇄,1등급,nonfinancial,가쇄 같은 억압을 벗어나면 진정한 자유를 맛볼 수 있다.,ind_Latn,"Jika Anda melepaskan diri dari penindasan seperti belenggu, Anda dapat merasakan kebebasan sejati.",neg,groq,True
가쇄,1등급,nonfinancial,가쇄 같은 억압을 벗어나면 진정한 자유를 맛볼 수 있다.,tha_Thai,หากหลุดพ้นจากการกดขี่เช่นโซ่ตรวน คุณจะได้สัมผัสอิสรภาพที่แท้จริง,neg,groq,True
가쇄,1등급,nonfinancial,가쇄 같은 억압을 벗어나면 진정한 자유를 맛볼 수 있다.,tgl_Latn,"Kung makaalis ka sa mga paghihigpit na katulad ng tanikala, mararanasan mo ang tunay na kalayaan.",neg,groq,True
가쇄,1등급,nonfinancial,가쇄 같은 억압을 벗어나면 진정한 자유를 맛볼 수 있다.,mya_Mymr,အကျဉ်းချုပ်ကဲ့သို့သော အဖိအားမှ လွတ်မြောက်နိုင်လျှင် တကယ့် လွတ်လပ်မှုကို ခံစားနိုင်မည်။,neg,groq,True
공모,1등급,financial,공모의 세부 조건과 절차는 거래 유형에 따라 달라질 수 있습니다.,vie_Latn,Các điều kiện chi tiết và thủ tục của phát hành công có thể khác nhau tùy theo loại giao dịch.,pos,groq,True
공모,1등급,financial,공모의 세부 조건과 절차는 거래 유형에 따라 달라질 수 있습니다.,ind_Latn,Ketentuan dan prosedur detail penawaran umum dapat berbeda tergantung pada jenis transaksi.,pos,groq,True
공모,1등급,financial,공모의 세부 조건과 절차는 거래 유형에 따라 달라질 수 있습니다.,tha_Thai,เงื่อนไขและขั้นตอนโดยละเอียดของการเสนอขายต่อสาธารณะอาจแตกต่างกันตามประเภทของการทำธุรกรรม,pos,groq,True
공모,1등급,financial,공모의 세부 조건과 절차는 거래 유형에 따라 달라질 수 있습니다.,tgl_Latn,Ang mga detalyadong kondisyon at proseso ng pampublikong alok ay maaaring mag-iba depende sa uri ng transaksyon.,pos,groq,True
공모,1등급,financial,공모의 세부 조건과 절차는 거래 유형에 따라 달라질 수 있습니다.,mya_Mymr,အရောင်းအဝယ် အမျိုးအစားအပေါ် မူတည်၍ အများပြည်သူထုတ်ဝေ၏ အသေးစိတ် အခြေအနေများနှင့် လုပ်ထုံးလုပ်နည်းများသည် ကွဲပြားနိုင်သည်။,pos,groq,True
공모,1등급,financial,신규 주식 발행을 위한 공모 절차는 증권거래소의 심사를 거쳐야 합니다.,vie_Latn,Quy trình phát hành công chúng cho việc phát hành cổ phiếu mới phải được sàn giao dịch chứng khoán thẩm định.,pos,groq,True
공모,1등급,financial,신규 주식 발행을 위한 공모 절차는 증권거래소의 심사를 거쳐야 합니다.,ind_Latn,Prosedur penawaran umum untuk penerbitan saham baru harus melalui pemeriksaan oleh bursa efek.,pos,groq,True
공모,1등급,financial,신규 주식 발행을 위한 공모 절차는 증권거래소의 심사를 거쳐야 합니다.,tha_Thai,ขั้นตอนการเสนอขายต่อสาธารณะเพื่อการออกหุ้นใหม่ต้องผ่านการตรวจสอบของตลาดหลักทรัพย์.,pos,groq,True
공모,1등급,financial,신규 주식 발행을 위한 공모 절차는 증권거래소의 심사를 거쳐야 합니다.,tgl_Latn,Ang proseso ng pampublikong alok para sa pag-isyu ng bagong mga stock ay kailangang sumailalim sa pagsusuri ng stock exchange.,pos,groq,True
공모,1등급,financial,신규 주식 발행을 위한 공모 절차는 증권거래소의 심사를 거쳐야 합니다.,mya_Mymr,အသစ်ထုတ်လုပ်သော အစုရှယ်ယာများအတွက် အများထုတ်ဝေ လုပ်ငန်းစဉ်သည် စတော့အိတ်ဈေးကွက်၏ စစ်ဆေးမှုကို ဖြတ်သန်းရမည်။,pos,groq,True
공모,1등급,financial,공모를 통해 모집된 자금은 기업의 성장 투자와 부채 상환에 활용됩니다.,vie_Latn,Số tiền huy động được thông qua phát hành công chúng sẽ được sử dụng cho các khoản đầu tư tăng trưởng của doanh nghiệp và trả nợ.,pos,groq,True
공모,1등급,financial,공모를 통해 모집된 자금은 기업의 성장 투자와 부채 상환에 활용됩니다.,ind_Latn,Dana yang diperoleh melalui penawaran umum akan digunakan untuk investasi pertumbuhan perusahaan dan pelunasan utang.,pos,groq,True
공모,1등급,financial,공모를 통해 모집된 자금은 기업의 성장 투자와 부채 상환에 활용됩니다.,tha_Thai,เงินที่ระดมผ่านการเสนอขายต่อสาธารณะจะถูกนำไปใช้ในการลงทุนเพื่อการเติบโตของบริษัทและการชำระหนี้,pos,groq,True
공모,1등급,financial,공모를 통해 모집된 자금은 기업의 성장 투자와 부채 상환에 활용됩니다.,tgl_Latn,Ang pondo na nakalikom sa pamamagitan ng public offering ay gagamitin para sa pamumuhunan sa paglago ng kumpanya at pagbabayad ng utang.,pos,groq,True
공모,1등급,financial,공모를 통해 모집된 자금은 기업의 성장 투자와 부채 상환에 활용됩니다.,mya_Mymr,အများပြည်သူထုတ်ဝေမှတဆင့် စုဆောင်းထားသော ငွေကြေးကို ကုမ္ပဏီ၏ တိုးတက်မှုရင်းနှီးမြှုပ်နှံမှုနှင့် အကြွေးပြန်လည်ပေးဆောင်မှုအတွက် အသုံးပြုသည်။,pos,groq,True
공모,1등급,nonfinancial,경찰 조사 결과 두 사람은 사기 범행을 미리 공모한 것으로 밝혀졌다.,vie_Latn,Kết quả điều tra của cảnh sát cho thấy hai người đã âm mưu thực hiện hành vi lừa đảo.,neg,groq,True
공모,1등급,nonfinancial,경찰 조사 결과 두 사람은 사기 범행을 미리 공모한 것으로 밝혀졌다.,ind_Latn,"Berdasarkan hasil penyelidikan polisi, terungkap bahwa kedua orang tersebut telah bersekongkol untuk melakukan penipuan.",neg,groq,True
공모,1등급,nonfinancial,경찰 조사 결과 두 사람은 사기 범행을 미리 공모한 것으로 밝혀졌다.,tha_Thai,การสอบสวนของตำรวจพบว่าทั้งสองคนได้ร่วมสมรู้ร่วมคิดการฉ้อโกงล่วงหน้า.,neg,groq,True
공모,1등급,nonfinancial,경찰 조사 결과 두 사람은 사기 범행을 미리 공모한 것으로 밝혀졌다.,tgl_Latn,"Ayon sa imbestigasyon ng pulis, natuklasan na nagkasundo ang dalawang tao na isagawa ang pandaraya.",neg,groq,True
공모,1등급,nonfinancial,경찰 조사 결과 두 사람은 사기 범행을 미리 공모한 것으로 밝혀졌다.,mya_Mymr,ရဲတပ်ဖွဲ့ စုံစမ်းစစ်ဆေးမှုအရ လူနှစ်ဦးသည် လိမ်လည်မှုကို ကြိုတင် အတူတကွ စီစဉ်ခဲ့ကြောင်း ထွက်ပေါ်ခဲ့သည်။,neg,groq,True
공모,1등급,nonfinancial,친구들이 나를 속이기 위해 서로 공모했다는 사실을 뒤늦게 알았다.,vie_Latn,Tôi đã biết muộn rằng những người bạn của tôi đã âm mưu lừa dối tôi.,neg,groq,True
공모,1등급,nonfinancial,친구들이 나를 속이기 위해 서로 공모했다는 사실을 뒤늦게 알았다.,ind_Latn,Saya baru menyadari bahwa teman-teman saya bersekongkol satu sama lain untuk menipu saya.,neg,groq,True
공모,1등급,nonfinancial,친구들이 나를 속이기 위해 서로 공모했다는 사실을 뒤늦게 알았다.,tha_Thai,ฉันได้ทราบช้า ๆ ว่าเพื่อน ๆ ของฉันได้ร่วมสมรู้ร่วมคิดกันเพื่อหลอกลวงฉัน,neg,groq,True
공모,1등급,nonfinancial,친구들이 나를 속이기 위해 서로 공모했다는 사실을 뒤늦게 알았다.,tgl_Latn,Nalaman ko nang huli na nagkasabwatan ang mga kaibigan ko upang lokohin ako.,neg,groq,True
공모,1등급,nonfinancial,친구들이 나를 속이기 위해 서로 공모했다는 사실을 뒤늦게 알았다.,mya_Mymr,ငါ့ကို လိမ်လည်ရန် မိတ်ဆွေတွေ အတူတကွ လက်တွဲစီစဉ်ခဲ့ကြောင်းကို နောက်ကျပြီး သိခဲ့တယ်။,neg,groq,True
공채,1등급,financial,공채의 조건과 수익 구조를 확인하고 싶습니다.,vie_Latn,Tôi muốn xác nhận các điều kiện và cấu trúc lợi nhuận của trái phiếu công.,pos,groq,True
공채,1등급,financial,공채의 조건과 수익 구조를 확인하고 싶습니다.,ind_Latn,Saya ingin memeriksa syarat dan struktur pendapatan obligasi pemerintah.,pos,groq,True
공채,1등급,financial,공채의 조건과 수익 구조를 확인하고 싶습니다.,tha_Thai,ฉันต้องการตรวจสอบเงื่อนไขและโครงสร้างผลตอบแทนของพันธบัตรสาธารณะ,pos,groq,True
