ko_term,match_priority,tgl_draft,tgl_repair_status
공사채등록법,408,Batas sa Pagpaparehistro ng Pampublikong Obligasyon,repaired_and_beaten
근저당,1115,hipoteca,repaired_and_beaten
금융감독위원회/금융감독원,59,Komisyon sa Pagsusuperbisa ng Pananalapi,repaired_and_beaten
금융통화운영위원회,181,Lupon ng Pananalapi,repaired_and_beaten
당일결제거래,439,transaksyon na bayad sa parehong araw,repaired_and_beaten
발기인,1127,tagapagtatag,repaired_and_beaten
부실채권 정리기금,189,Pondo para sa Paglutas ng Masamang Utang,repaired_and_beaten
상환,1279,pagbawi,repaired_and_beaten
증권거래세,694,buwis sa transaksyon ng mga securities,repaired_and_beaten
차감결제,1021,netong pagbayad,repaired_and_beaten
채무불이행위험,368,panganib ng default,repaired_and_beaten
할인발행,1062,pag‑isyu ng diskwento,repaired_and_beaten
