ko_term,match_priority,mya_draft,mya_repair_status
계약,1258,စာချုပ်,baseline_only
국민주,1112,ပြည်သူ့စတော့ရှယ်ယာ,repaired_and_beaten
무담보사채,622,အာမခံမရှိဘဏ္ဍာရေးအကြွေးစာချုပ်,repaired_and_beaten
발기인,1127,တည်ထောင်သူ,repaired_and_beaten
신주인수권증권,343,အစုရှယ်ယာဝယ်ယူခွင့်လက်မှတ်,repaired_and_beaten
쌍방연계방식,486,နှစ်ဖက်ဆက်သွယ်မှုနည်းလမ်း,repaired_and_beaten
역금리,1154,အနုတ်အတိုးနှုန်း,repaired_and_beaten
연속결제,925,အဆက်မပြတ်ပေးချေမှု,repaired_and_beaten
원본위험,942,မူလအန္တရာယ်,repaired_and_beaten
일반담보물,678,အထွေထွေ အာမခံပစ္စည်း,repaired_and_beaten
정시상환,989,အချိန်မီ ပြန်လည်ပေးချေမှု,repaired_and_beaten
주주,1288,ရှယ်ယာရှင်,repaired_and_beaten
차감결제,1021,အကြွေးချုပ်ငွေပေးချေမှု,repaired_and_beaten
현물출자,1070,အကြွေးမဲ့ပေးအပ်မှု,baseline_only
혼합주,1201,ပေါင်းစပ် အစုရှယ်ယာ,repaired_and_beaten
