sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00001,가격역지정 주문이 무엇을 의미하나요?,ဈေးနှုန်းသတ်မှတ်မှုဆိုတာက ဘာကိုဆိုလိုတာလဲ။,,가격역지정 주문,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00005,가격우선의 원칙이 무엇을 의미하나요?,ဈေးနှုန်း ဦးစားပေးမှု မူဝါဒက ဘာကိုဆိုလိုတာလဲ။,,가격우선의 원칙,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00009,가격제한폭이 무엇을 의미하나요?,စျေးနှုန်း ကန့်သတ်မှုဆိုတာက ဘာကိုဆိုလိုတာလဲ။,,가격제한폭,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00014,가교은행에서 이용할 수 있는 금융업무는 무엇인가요?,ငွေရေးကြေးရေး ဘဏ်တွေမှာ ဘာတွေ လုပ်နိုင်လဲ။,,가교은행,False,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00019,가산금리에 대해 상담받고 싶습니다.,အိမ်မွေးတိရစ္ဆာန်တွေအကြောင်း အကြံပေးချင်တယ်။,,가산금리,False,대출,,1.0,1.0,1.0,0,,0,
KO-FIN-00022,가쇄 처리 절차를 확인하고 싶습니다.,အစုလိုက်အပြုံလိုက် စီမံခန့်ခွဲမှု လုပ်ငန်းစဉ်ကို စစ်ဆေးချင်ပါတယ်။,,가쇄,False,증권·예탁,금융법규·감독,1.0,1.0,1.0,0,,0,
KO-FIN-00026,가압류의 조건과 수익 구조를 확인하고 싶습니다.,ဒီရေစီးကြောင်းရဲ့ အခြေအနေနဲ့ ဝင်ငွေ တည်ဆောက်ပုံကို ကြည့်ချင်တယ်။,,가압류,False,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00029,가중주가평균이 무엇인지 설명해 주세요.,ကိုယ်အလေးချိန် ပျမ်းမျှက ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,,가중주가평균,False,주식,금융시장·거래,1.0,1.0,1.0,0,,0,
KO-FIN-00033,간사단이 무엇인지 설명해 주세요.,စောင့်ရှောက်ရေးအဖွဲ့ဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,,간사단,False,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00038,간사회사 처리 절차를 확인하고 싶습니다.,လူမှုဝန်ထမ်း စီမံခန့်ခွဲမှု လုပ်ငန်းစဉ်ကို ကြည့်ချင်တယ်။,,간사회사,False,증권·예탁,금융기관·은행,1.0,1.0,1.0,0,,0,
KO-FIN-00043,간접공시 때문에 추가로 확인해야 할 사항이 있나요?,အဆက်မပြတ် ထုတ်ပြန်မှုကြောင့် ထပ်ပြီး စစ်ဆေးဖို့လိုတာ တစ်ခုခုရှိလား။,,간접공시,False,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,0,
KO-FIN-00044,간접공시의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.,ညွှန်ကြားချက်တွေရဲ့ သက်ရောက်မှုက သက်ဆိုင်ရာ ဥပဒေတွေနဲ့ စည်းမျဉ်းတွေအလိုက် ကွဲပြားနိုင်ပါတယ်။,,간접공시,False,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,0,
KO-FIN-00046,간접금융에서 이용할 수 있는 금융업무는 무엇인가요?,တိုက်ရိုက် ငွေကြေးပေးချေမှုမှာ သုံးနိုင်တဲ့ ဘဏ္ဍာရေးလုပ်ငန်းတွေက ဘာတွေလဲ။,,간접금융,False,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00049,간접모집이 무엇인지 설명해 주세요.,အဆက်မပြတ် စုစည်းမှုဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,,간접모집,False,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00054,간접발행을 이용하려면 어떤 조건이 필요한가요?,ဒီတော့ တုံ့ပြန်ဆက်သွယ်မှုကို သုံးဖို့ ဘယ်အခြေအနေတွေ လိုအပ်လဲ။,,간접발행,False,기업금융·자본조달,,1.0,1.0,1.0,0,,0,
KO-FIN-00055,간접발행과 관련된 비용과 절차를 확인하고 싶습니다.,နောက်ဆက်တွဲ ထုတ်လွှင့်မှုတွေနဲ့ ပတ်သက်တဲ့ ကုန်ကျစရိတ်နဲ့ လုပ်ငန်းစဉ်တွေကို ကြည့်ချင်တယ်။,,간접발행,False,기업금융·자본조달,,1.0,1.0,1.0,0,,0,
KO-FIN-00058,간접점유 처리 절차를 확인하고 싶습니다.,ကျွန်တော်တို့ရဲ့ အဆက်မပြတ် ဝယ်ယူမှု လုပ်ငန်းစဉ်ကို စစ်ဆေးချင်ပါတယ်။,,간접점유,False,증권·예탁,법률·계약 / 금융법규·감독,1.0,1.0,1.0,0,,0,
KO-FIN-00064,간접참가자를 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.,တုံ့ပြန်သူတွေကို ရှာဖွေတဲ့အခါ စျေးကွက်အခြေအနေနဲ့ ကုန်သွယ်မှု အခြေအနေတွေကို အတူတကွ ကြည့်ပါ။,,간접참가자,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
