ko_term,grade,nonfinancial_meaning,eng,n_sent
가쇄,1등급,枷鎖(형틀/족쇄) — 실제 오역 전례(베트남어 Chuỗi),,1
간주,1등급,間奏(음악 간주곡),,1
공모,1등급,共謀(범죄 공모/모의),public offering,1
공채,1등급,公採(공개채용 준말),public bond,1
기세,1등급,"氣勢(기운/기백/추진력, 일상어 '기세등등')","quot, quotation",1
단주,1등급,斷酒(금주/술을 끊음),"odd lot, fractional shares",1
대권,1등급,"大權(최고 권력/대통령직, '대권주자')",global certificates,1
빅뱅,1등급,Big Bang(우주 대폭발 이론),Big Bang,1
사모,1등급,"師母/思慕('사모님' 존칭, 그리움)",private placement,1
상장,1등급,賞狀(상장 증서),listing,1
신탁,1등급,神託(신의 계시/오라클),trust,1
주권,1등급,主權(국가 주권),stock certificate,1
차주,1등급,次週(다음 주) 또는 車主(차량 소유자) — 실제 오염 확인 사례,borrowed stock,1
청산,1등급,'과거를 청산하다'(정리/종결) 일상 관용구,clearing,1
콜,1등급,전화(call) 또는 '콜!'(동의) 일상 표현,call,1
매출,2등급,일반적 '매출액/판매실적',,1
모집,2등급,일반적 '모집/채용공고',,1
딜러,2등급,자동차 딜러 등 일반 판매상,dealer,1
옵션,2등급,제품/자동차의 선택 사양(추가 기능),option,1
인수,2등급,"택배 인수, 인수인계 등 '받아서 넘겨받음'",underwriting,1
