sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00001,가격역지정 주문이 무엇을 의미하나요?,คำสั่งหยุด-จำกัด หมายความว่าอะไร?,가격역지정 주문,가격역지정 주문,True,금융시장·거래,,1.0,1.0,1.0,0,,20,가격역지정 주문
KO-FIN-00005,가격우선의 원칙이 무엇을 의미하나요?,หลักการให้ความสำคัญกับราคา หมายความว่าอะไร?,가격우선의 원칙,가격우선의 원칙,True,금융시장·거래,,1.0,1.0,1.0,0,,40,가격우선의 원칙
KO-FIN-00009,가격제한폭이 무엇을 의미하나요?,ช่วงราคาสูงสุดและต่ำสุด หมายความว่าอะไร?,가격제한폭,가격제한폭,True,금융시장·거래,,1.0,1.0,1.0,0,,50,가격제한폭
KO-FIN-00014,가교은행에서 이용할 수 있는 금융업무는 무엇인가요?,มีบริการทางการเงินใดบ้างที่ ธนาคารสะพาน?,가교은행,가교은행,True,금융기관·은행,,1.0,1.0,1.0,0,,20,가교은행
KO-FIN-00019,가산금리에 대해 상담받고 싶습니다.,ผมต้องการหารือเกี่ยวกับ อัตราดอกเบี้ยเพิ่มเติม,가산금리,가산금리,True,대출,,1.0,1.0,1.0,0,,40,가산금리
KO-FIN-00022,가쇄 처리 절차를 확인하고 싶습니다.,ผมต้องการตรวจสอบขั้นตอนการดำเนินการสำหรับ ล็อค,가쇄,가쇄,True,증권·예탁,금융법규·감독,1.0,1.0,1.0,0,,70,가쇄
KO-FIN-00026,가압류의 조건과 수익 구조를 확인하고 싶습니다.,ผมต้องการตรวจสอบเงื่อนไขและโครงสร้างรายได้ของ ไฟล์แนบ,가압류,가압류,True,채권,,1.0,1.0,1.0,0,,40,가압류
KO-FIN-00029,가중주가평균이 무엇인지 설명해 주세요.,โปรดอธิบายว่า ค่าเฉลี่ยเคลื่อนที่ถ่วงน้ำหนัก คืออะไร,가중주가평균,가중주가평균,True,주식,금융시장·거래,1.0,1.0,1.0,0,,40,가중주가평균
KO-FIN-00033,간사단이 무엇인지 설명해 주세요.,โปรดอธิบายว่า คณะกรรมการอำนวยการ คืออะไร,간사단,간사단,True,증권·예탁,,1.0,1.0,1.0,0,,20,간사단
KO-FIN-00038,간사회사 처리 절차를 확인하고 싶습니다.,ผมต้องการตรวจสอบขั้นตอนการดำเนินการสำหรับ คณะกรรมการจัดงาน,간사회사,간사회사,True,증권·예탁,금융기관·은행,1.0,1.0,1.0,0,,40,간사회사
KO-FIN-00043,간접공시 때문에 추가로 확인해야 할 사항이 있나요?,มีข้อใดเพิ่มเติมที่จำเป็นต้องตรวจสอบเกี่ยวกับ การเปิดเผยข้อมูลแบบอ้อม หรือไม่?,간접공시,간접공시,True,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,40,간접공시
KO-FIN-00044,간접공시의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.,ขอบเขตการนำไปใช้ของ การเปิดเผยข้อมูลแบบอ้อม อาจแตกต่างกันไปขึ้นอยู่กับกฎหมายและกฎระเบียบที่เกี่ยวข้อง,간접공시,간접공시,True,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,40,간접공시
KO-FIN-00046,간접금융에서 이용할 수 있는 금융업무는 무엇인가요?,มีบริการทางการเงินใดบ้างที่ การเงินทางอ้อม?,간접금융,간접금융,True,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00049,간접모집이 무엇인지 설명해 주세요.,กรุณาอธิบายว่า การรับสมัครแบบไม่โดยตรง คืออะไร,간접모집,간접모집,True,증권·예탁,,1.0,1.0,1.0,0,,40,간접모집
KO-FIN-00054,간접발행을 이용하려면 어떤 조건이 필요한가요?,เกณฑ์การมีสิทธิ์ในการใช้ การออกหุ้นแบบไม่โดยตรง คืออะไร?,간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,50,간접발행
KO-FIN-00055,간접발행과 관련된 비용과 절차를 확인하고 싶습니다.,ผมต้องการตรวจสอบค่าใช้จ่ายและขั้นตอนที่เกี่ยวข้องกับ การออกหุ้นแบบไม่โดยตรง,간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,50,간접발행
KO-FIN-00058,간접점유 처리 절차를 확인하고 싶습니다.,ผมต้องการตรวจสอบขั้นตอนการดำเนินการสำหรับ การถือครองทางอ้อม,간접점유,간접점유,True,증권·예탁,법률·계약 / 금융법규·감독,1.0,1.0,1.0,0,,20,간접점유
KO-FIN-00064,간접참가자를 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.,เมื่อวิเคราะห์ ผู้เข้าร่วมแบบไม่โดยตรง ให้แน่ใจว่าได้พิจารณาถึงสภาพตลาดและเงื่อนไขการซื้อขายด้วย,간접참가자,간접참가자,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00066,간주 처리 절차를 확인하고 싶습니다.,ผมต้องการตรวจสอบขั้นตอนการดำเนินการสำหรับ ถือว่า,간주,간주,True,증권·예탁,,1.0,1.0,1.0,0,,80,간주
KO-FIN-00069,감리대상종목이 무엇을 의미하나요?,รายการที่อยู่ภายใต้การกำกับดูแล หมายความว่าอะไร?,감리대상종목,감리대상종목,True,금융시장·거래,,1.0,1.0,1.0,0,,40,감리대상종목
KO-FIN-00073,감자차익이 무엇인지 설명해 주세요.,กรุณาอธิบายว่า การเก็งกำไรจากความแตกต่างของราคาของมันฝรั่ง คืออะไร,감자차익,감자차익,True,주식,,1.0,1.0,1.0,0,,50,감자차익
KO-FIN-00077,감채기금이 무엇인지 설명해 주세요.,โปรดอธิบายว่า กองทุนบรรเทาหนี้ คืออะไร,감채기금,감채기금,True,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00081,감채기금부채권이 무엇인지 설명해 주세요.,กรุณาอธิบายว่า หลักทรัพย์หนี้ที่มีกองทุนไถ่ถอนเป็นหลักประกัน คืออะไร,감채기금부채권,감채기금부채권,True,채권,,1.0,1.0,1.0,0,,40,감채기금부채권
KO-FIN-00085,강세장이 무엇을 의미하나요?,ตลาดขาขึ้น หมายความว่าอะไร?,강세장,강세장,True,금융시장·거래,,1.0,1.0,1.0,0,,50,강세장
KO-FIN-00090,강제매수와 관련된 시장 정보를 확인하고 싶습니다.,ผมต้องการตรวจสอบข้อมูลตลาดที่เกี่ยวข้องกับ การเวนคืน,강제매수,강제매수,True,금융시장·거래,,1.0,1.0,1.0,0,,40,강제매수
KO-FIN-00095,개발신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,ควรตรวจสอบอะไรก่อนสมัคร มูลนิธิพัฒนา?,개발신탁,개발신탁,True,펀드·신탁,,1.0,1.0,1.0,0,,20,개발신탁
KO-FIN-00098,개방식 담보사채의 조건과 수익 구조를 확인하고 싶습니다.,ผมต้องการตรวจสอบเงื่อนไขและโครงสร้างรายได้ของ พันธบัตรที่มีหลักประกันแบบเปิด,개방식 담보사채,개방식 담보사채,True,채권,,1.0,1.0,1.0,0,,40,개방식 담보사채
KO-FIN-00104,개방형 리포의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.,เพื่อกำหนดว่า รายงานแบบเปิด มีผลบังคับใช้หรือไม่ คุณต้องตรวจสอบเนื้อหาของ สัญญา และกฎหมายที่เกี่ยวข้อง,개방형 리포;계약,개방형 리포,True,법률·계약,,1.0,1.0,1.0,0,,50,개방형 리포;계약
KO-FIN-00107,개방형 투자신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,ควรตรวจสอบอะไรก่อนสมัคร กองทุนลงทุนแบบเปิด?,개방형 투자신탁,개방형 투자신탁,True,펀드·신탁,자산운용·투자,1.0,1.0,1.0,0,,20,개방형 투자신탁
KO-FIN-00111,개별결제 과정에서 문제가 발생한 것 같습니다.,ดูเหมือนว่าเกิดปัญหาในกระบวนการ การชำระเงินแบบรายบุคคล,개별결제,개별결제,True,지급결제·청산,,1.0,1.0,1.0,0,,0,
KO-FIN-00114,개별경쟁매매와 관련된 시장 정보를 확인하고 싶습니다.,ผมต้องการตรวจสอบข้อมูลตลาดที่เกี่ยวข้องกับ การซื้อขายแบบแข่งขันส่วนบุคคล,개별경쟁매매,개별경쟁매매,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00117,개시증거금이 무엇인지 쉽게 설명해 주세요.,โปรดอธิบายด้วยคำง่ายๆ ว่า เงินประกันเริ่มต้น คืออะไร,개시증거금,개시증거금,True,파생상품,,1.0,1.0,1.0,0,,40,개시증거금
KO-FIN-00121,거래량비율이 무엇을 의미하나요?,อัตราส่วนปริมาณ หมายความว่าอะไร?,거래량비율,거래량비율,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00125,거래량회전율이 무엇을 의미하나요?,อัตราการลาออก หมายความว่าอะไร?,거래량회전율,거래량회전율,True,금융시장·거래,,1.0,1.0,1.0,0,,40,거래량회전율
KO-FIN-00129,거래성립률이 무엇을 의미하나요?,อัตราความสำเร็จของธุรกรรม หมายความว่าอะไร?,거래성립률,거래성립률,True,금융시장·거래,,1.0,1.0,1.0,0,,20,거래성립률
