sentence_id,lang,ko_source,comet_diff,labse_diff,pipeline_score,pipeline_labse_sim,nllb_baseline_mt,target_term,candidate,provider,sense_id,n_senses,nllb_consistency_labse,repaired_mt,repaired_comet_score,repaired_labse_sim,comet_up,labse_up,verdict,reason
KO-FIN-00305,tgl_Latn,고객예탁증권이 무엇인지 설명해 주세요.,-0.3803782761096954,-0.2713208198547363,0.4767281711101532,0.6676274538040161,Ipaliwanag mo kung ano ang customer deposit certificate.,고객예탁증권,seguridad na ini-deposito ng kustomer,groq,402,1,0.5093653798103333,Ipaliwanag mo kung ano ang seguridad na ini-deposito ng kustomer.,0.5043343901634216,0.7976171374320984,True,True,approved,
KO-FIN-01278,tgl_Latn,무담보사채의 조건과 수익 구조를 확인하고 싶습니다.,-0.3664464652538299,-0.0623646974563598,0.4971175491809845,0.8833640813827515,Gusto kong suriin ang mga kondisyon at istraktura ng kita ng mga utang na walang garantiya.,무담보사채,bonong walang kolateral,gemini,622,1,0.2781318426132202,Gusto kong suriin ang mga kondisyon at istraktura ng kita ng bonong walang kolateral.,0.570021390914917,0.9009467363357544,True,True,approved,
KO-FIN-03262,mya_Mymr,증권거래세와 관련된 시장 정보를 확인하고 싶습니다.,-0.3214707970619201,-0.2200991511344909,0.5472230911254883,0.6990835070610046,စတော့အခွန်နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို ကြည့်ချင်တယ်။,증권거래세,အာမခံလက်မှတ် အရောင်းအဝယ် အခွန်,gemini,694,1,0.3728142976760864,အာမခံလက်မှတ် အရောင်းအဝယ် အခွန် နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို စစ်ဆေးချင်ပါတယ်။,0.7198543548583984,0.8918974995613098,True,True,approved,
KO-FIN-00185,tgl_Latn,결제리스크 관리제도가 무엇인지 설명해 주세요.,-0.3052084147930145,-0.1307905912399292,0.454733282327652,0.7182620763778687,Ipaliwanag mo kung ano ang isang sistema ng pamamahala ng panganib sa pagbabayad.,결제리스크 관리제도,Sistema ng Pamamahala sa Risko ng Settlement,gemini,139,1,0.5947847962379456,Ipaliwanag kung ano ang Sistema ng Pamamahala sa Risko ng Settlement.,0.6720484495162964,0.7001543641090393,True,False,abstain,labse_up=False
KO-FIN-00609,tgl_Latn,규정재정이 금융거래에 어떻게 적용되나요?,-0.3035064935684204,-0.2347025275230407,0.5166495442390442,0.6618755459785461,Paano ang mga regulasyon ay naaangkop sa pangangalakal sa pananalapi?,규정재정,arbitrasyong regulasyon,groq,788,1,0.3597561717033386,Paano ito nalalapat sa pananalapi?,0.5166495442390442,,False,False,abstain,comet_up=False (LaBSE 생략)
KO-FIN-02865,tgl_Latn,자본잉여금이 무엇인지 설명해 주세요.,-0.2942006587982178,-0.0290937423706054,0.5665743350982666,0.8895301818847656,Ipaliwanag sa akin kung ano ang kapital surplus.,자본잉여금,sobrang kapital,groq,682,1,0.4131399989128113,Ipaliwanag mo kung ano ang sobrang kapital.,0.5428258776664734,,False,False,abstain,comet_up=False (LaBSE 생략)
KO-FIN-00978,mya_Mymr,당일결제거래와 관련된 시장 정보를 확인하고 싶습니다.,-0.2805461883544922,-0.1137799024581909,0.5448920726776123,0.7068814039230347,တစ်နေ့တာ ငွေပေးချေမှုတွေနဲ့ ပတ်သက်တဲ့ စျေးကွက် သတင်းအချက်အလက်တွေကို ကြည့်ချင်တယ်။,당일결제거래,ထိုနေ့ စာရင်းရှင်းလင်းသည့် အရောင်းအဝယ်,gemini,439,1,0.4126628637313843,ထိုနေ့ စာရင်းရှင်းလင်းသည့် အရောင်းအဝယ် နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို စစ်ဆေးချင်ပါတယ်။,0.5884085893630981,0.8705896139144897,True,True,approved,
KO-FIN-03777,tgl_Latn,통일규격유가증권이 무엇인지 설명해 주세요.,-0.2680788338184356,-0.0773454904556274,0.4651995003223419,0.6475239992141724,Ipaliwanag sa akin kung ano ang Uniform Tax Credit.,통일규격유가증권,standardisadong sertipiko ng stock,groq,284,1,0.30969396233558655,Ipaliwanag mo kung ano ang standardisadong sertipiko ng stock.,0.5996847152709961,0.7550350427627563,True,True,approved,
KO-FIN-03273,tgl_Latn,증권금융이 무엇인지 설명해 주세요.,-0.2642889022827148,-0.0493904948234558,0.568755030632019,0.7456528544425964,Ipaliwanag kung ano ang securities financing.,증권금융,pananalapi ng mga securities,groq,1007,1,0.5725522041320801,Ipaliwanag mo kung ano ang pananalapi ng mga securities.,0.6076833009719849,0.7918100953102112,True,True,approved,
KO-FIN-01881,tgl_Latn,소수주주권이 무엇인지 설명해 주세요.,-0.2592798471450805,-0.2139284610748291,0.5712401866912842,0.7169281244277954,Ipaliwanag kung ano ang minority ownership.,소수주주권,karapatan ng minoryang shareholder,gemini,649,1,0.515750527381897,Ipaliwanag mo kung ano ang karapatan ng minoryang shareholder.,0.6714783310890198,0.8266746401786804,True,True,approved,
KO-FIN-03798,tgl_Latn,통합계좌 처리 절차를 확인하고 싶습니다.,-0.2529827356338501,-0.153726577758789,0.490405261516571,0.748630166053772,Gusto kong suriin ang proseso ng pagproseso ng pinagsamang account.,통합계좌,Pinagsamang kuwenta,gemini,1043,1,0.1933916211128235,Gusto kong suriin ang proseso ng pagproseso.,0.4904051721096039,,False,False,abstain,comet_up=False (LaBSE 생략)
KO-FIN-03245,mya_Mymr,증거금이 무엇인지 쉽게 설명해 주세요.,-0.246690034866333,-0.1070405840873718,0.6255000829696655,0.7010425329208374,သက်သေခံငွေဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,증거금,အာမခံငွေ,groq,1182,1,0.33123159408569336,အာမခံငွေ ဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါ။,0.7978171706199646,0.7444693446159363,True,True,approved,
KO-FIN-02042,tgl_Latn,시간외 종가매매와 관련된 시장 정보를 확인하고 싶습니다.,-0.2431707978248596,-0.0203711986541748,0.5573071241378784,0.8275967836380005,Gusto kong suriin ang impormasyon ng merkado na may kinalaman sa mga out-of-hours na kalakalan.,시간외 종가매매,kalakalan ng presyo ng pagsasara pagkatapos ng oras,groq,252,1,0.479461669921875,Gusto kong suriin ang impormasyon ng merkado na nauugnay sa kalakalan ng presyo ng pagsasara pagkatapos ng oras.,0.5874345302581787,0.8611311316490173,True,True,approved,
KO-FIN-03955,mya_Mymr,풀서비스 브로커와 관련해 투자 전에 확인해야 할 사항이 있나요?,-0.2360046505928039,-0.2118144035339355,0.6339663863182068,0.7701410055160522,ရင်းနှီးမြှုပ်နှံမှု မလုပ်ခင်မှာ Full-Service Broker တွေနဲ့ ပတ်သက်ပြီး စစ်ဆေးသင့်တဲ့ အချက်တွေရှိလား။,풀서비스 브로커,ဝန်ဆောင်မှုအပြည့်အဝပေးသော ပွဲစား,gemini,288,1,0.4499017298221588,ဝန်ဆောင်မှုအပြည့်အဝပေးသော ပွဲစား နဲ့ပတ်သက်ပြီး ရင်းနှီးမြှုပ်နှံမှု မလုပ်ခင် သေချာဖို့ အချက်တွေရှိလား။,0.6471095085144043,0.8371157646179199,True,True,approved,
KO-FIN-03455,mya_Mymr,차금결제 과정에서 문제가 발생한 것 같습니다.,-0.2327509522438049,-0.111506164073944,0.5503589510917664,0.6134179830551147,ငွေပေးချေမှုမှာ ပြဿနာတစ်ခု ရှိပုံရတယ်။,차금결제,ငွေဖြေရှင်းမှု,groq,1022,1,0.4243590533733368,ငွေဖြေရှင်းမှု လုပ်နေတုန်း ပြဿနာတစ်ခု ဖြစ်နေပုံရတယ်။,0.6679985523223877,0.9272183775901794,True,True,approved,
KO-FIN-02990,mya_Mymr,전업주의 처리 절차를 확인하고 싶습니다.,-0.2203949689865112,-0.1196869611740112,0.5165525674819946,0.5887351036071777,လုပ်ငန်းရှင်ရဲ့ စီမံခန့်ခွဲမှု လုပ်ငန်းစဉ်ကို စစ်ဆေးချင်ပါတယ်။,전업주의,အထူးပြုဘဏ်လုပ်ငန်းစနစ်,groq,984,1,0.2332431524991989,အထူးပြုဘဏ်လုပ်ငန်းစနစ် ကို စစ်ဆေးချင်ပါတယ်။,0.5466766953468323,0.5818096399307251,True,False,abstain,labse_up=False
KO-FIN-02719,mya_Mymr,인덱스펀드에 가입하기 전에 어떤 점을 확인해야 하나요?,-0.2076560258865356,-0.245697796344757,0.6135023236274719,0.7275951504707336,Index Fund မှာ မပါဝင်ခင် ဘယ်အချက်တွေကို စစ်ဆေးသင့်လဲ။,인덱스펀드,အညွှန်းရင်းနှီးမြှုပ်နှံမှု,groq,676,1,0.3303290605545044,အညွှန်းရင်းနှီးမြှုပ်နှံမှု ကို မဝင်ခင် ဘယ်အချက်တွေကို စစ်ဆေးသင့်လဲ။,0.7282737493515015,0.8427014946937561,True,True,approved,
KO-FIN-02309,tgl_Latn,영시조항이 무엇을 의미하나요?,-0.192896157503128,-0.0686056613922119,0.4801542460918426,0.654633641242981,Ano ang ibig sabihin ng British Charter?,영시조항,panuntunan ng zero hour,groq,928,1,0.37197721004486084,Ano ang ibig sabihin ng panuntunan ng zero hour?,0.5168225169181824,0.7251715064048767,True,True,approved,
KO-FIN-00085,tgl_Latn,강세장이 무엇을 의미하나요?,-0.1904383599758148,-0.1775741577148437,0.4519276320934295,0.5847365856170654,Ano ang ibig sabihin ng Stronghold?,강세장,pamilihang pataas,groq,1103,1,0.16259942948818207,Ano ang ibig sabihin ng pamilihang pataas?,0.4742238223552704,0.6325660943984985,True,True,approved,
KO-FIN-02801,tgl_Latn,일중대월이 무엇인지 설명해 주세요.,-0.1863660514354705,-0.1060789227485656,0.460673838853836,0.6937406659126282,Ipaliwanag sa akin kung ano ang lunar month.,일중대월,kredito sa loob ng araw,groq,970,1,0.32191842794418335,Ipaliwanag mo kung ano ang kredito sa loob ng araw.,0.41834333539009094,,False,False,abstain,comet_up=False (LaBSE 생략)
