문장ID,원본용어번호,업무카테고리,관련카테고리,금융용어,용어성격,화자,발화유형,한국어 금융문장,생성구분,자연스러움,용어정확성,유사성,동일골격횟수,동일용어내최대유사도,최종판정,검수사유,자동수정안,재검수판정,재검수사유,최종사용문장
KO-FIN-00001,1,금융시장·거래,,가격역지정 주문,일반개념,고객,질문,가격역지정 주문이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.667,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,가격역지정 주문이 무엇을 의미하나요?
KO-FIN-00005,2,금융시장·거래,,가격우선의 원칙,법규·제도,고객,질문,가격우선의 원칙이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.667,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,가격우선의 원칙이 무엇을 의미하나요?
KO-FIN-00009,3,금융시장·거래,,가격제한폭,일반개념,고객,질문,가격제한폭이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.615,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,가격제한폭이 무엇을 의미하나요?
KO-FIN-00014,4,금융기관·은행,,가교은행,기관·조직,고객,질문,가교은행에서 이용할 수 있는 금융업무는 무엇인가요?,용어기반,양호,정확,높음,40,0.406,수정 권장,유사 문장구조 반복(40회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,가교은행에서 이용할 수 있는 금융업무는 무엇인가요?
KO-FIN-00019,5,대출,,가산금리,지표·개념,고객,요청,가산금리에 대해 상담받고 싶습니다.,용어기반,양호,정확,높음,40,0.56,수정 권장,유사 문장구조 반복(40회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,가산금리에 대해 상담받고 싶습니다.
KO-FIN-00022,6,증권·예탁,금융법규·감독,가쇄,일반개념,고객,확인,가쇄 처리 절차를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,241,0.609,수정 권장,동일 문장구조가 241회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,가쇄 처리 절차를 확인하고 싶습니다.
KO-FIN-00026,7,채권,,가압류,행위·절차,고객,확인,가압류의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.385,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,가압류의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-00029,8,주식,금융시장·거래,가중주가평균,일반개념,고객,질문,가중주가평균이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.426,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,가중주가평균이 무엇인지 설명해 주세요.
KO-FIN-00033,9,증권·예탁,,간사단,일반개념,고객,질문,간사단이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.489,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,간사단이 무엇인지 설명해 주세요.
KO-FIN-00038,10,증권·예탁,금융기관·은행,간사회사,기관·조직,고객,확인,간사회사 처리 절차를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,241,0.64,수정 권장,동일 문장구조가 241회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,간사회사 처리 절차를 확인하고 싶습니다.
