sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00272,계약의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.,စာချုပ် ကို အသုံးပြုရန်အတွက် စာချုပ် ၏ အကြောင်းအရာနှင့် သက်ဆိုင်သော ဥပဒေများကို စစ်ဆေးရန် လိုအပ်ပါသည်။,계약;계약,계약,True,법률·계약,,1.0,1.0,1.0,0,,70,계약;계약
KO-FIN-00389,공사채등록법이 무엇인지 설명해 주세요.,စာရင်းအင်းစနစ်က ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,,공사채등록법,False,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00483,국민주와 관련해 투자 전에 확인해야 할 사항이 있나요?,ပြည်သူ့စတော့ရှယ်ယာ နဲ့ ပတ်သက်ပြီး ရင်းနှီးမြှုပ်နှံမှု မလုပ်ခင် သေချာဖို့ အချက်တွေရှိလား။,국민주,국민주,True,주식,,1.0,1.0,1.0,0,,40,국민주
KO-FIN-00618,근저당과 관련된 금리와 비용을 확인하고 싶습니다.,စိုက်ပျိုးရေးလုပ်ငန်းနဲ့ ဆက်စပ်တဲ့ အတိုးနဲ့ ကုန်ကျစရိတ်တွေကို သိချင်ပါတယ်။,,근저당,False,부동산금융,,1.0,1.0,1.0,0,,0,
KO-FIN-00619,근저당을 이용할 때 필요한 서류는 무엇인가요?,အခြေခံအဆောက်အအုံကို သုံးဖို့ လိုအပ်တဲ့ စာရွက်စာတမ်းတွေက ဘာတွေလဲ။,,근저당,False,부동산금융,,1.0,1.0,1.0,0,,0,
KO-FIN-00673,금융감독위원회/금융감독원이 금융거래에 어떻게 적용되나요?,ငွေရေးကြေးရေး စိစစ်ရေး ကော်မတီ (သို့) ငွေရေးကြေးရေး စိစစ်ရေး ကော်မတီက ငွေရေးကြေးရေး ရောင်းဝယ်မှုမှာ ဘယ်လို အသုံးချလဲ။,,금융감독위원회/금융감독원,False,금융법규·감독,,1.0,1.0,1.0,0,,0,
KO-FIN-00675,금융감독위원회/금융감독원 때문에 추가로 확인해야 할 사항이 있나요?,ဘဏ္ဍာရေး ကြီးကြပ်ရေး ကော်မတီ (သို့) ဘဏ္ဍာရေး ကြီးကြပ်ရေးမှူးအတွက် ထပ်မံ စစ်ဆေးဖို့လိုတာ တစ်ခုခုရှိလား။,,금융감독위원회/금융감독원,False,금융법규·감독,,1.0,1.0,1.0,0,,0,
KO-FIN-00738,금융통화운영위원회에서 이용할 수 있는 금융업무는 무엇인가요?,ငွေလဲလှယ်ရေး ကော်မတီမှာ သုံးနိုင်တဲ့ ငွေလဲလှယ်ရေး အလုပ်တွေက ဘာတွေလဲ။,,금융통화운영위원회,False,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00978,당일결제거래와 관련된 시장 정보를 확인하고 싶습니다.,တစ်နေ့တာ ငွေပေးချေမှုတွေနဲ့ ပတ်သက်တဲ့ စျေးကွက် သတင်းအချက်အလက်တွေကို ကြည့်ချင်တယ်။,,당일결제거래,False,금융시장·거래,지급결제·청산,1.0,1.0,1.0,0,,0,
KO-FIN-01278,무담보사채의 조건과 수익 구조를 확인하고 싶습니다.,အာမခံမရှိဘဏ္ဍာရေးအကြွေးစာချုပ် ရဲ့ အခြေအနေနဲ့ ဝင်ငွေ တည်ဆောက်ပုံကို စစ်ဆေးချင်ပါတယ်။,무담보사채,무담보사채,True,채권,,1.0,1.0,1.0,0,,40,무담보사채
