sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00272,계약의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.,"Để xác định liệu Hợp đồng có được áp dụng hay không, cần phải kiểm tra nội dung của Hợp đồng và các văn bản pháp luật liên quan.",계약;계약,계약,True,법률·계약,,1.0,1.0,1.0,0,,30,계약;계약
KO-FIN-00389,공사채등록법이 무엇인지 설명해 주세요.,Vui lòng giải thích Luật Đăng ký Trái phiếu Công ty là gì.,공사채등록법,공사채등록법,True,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00483,국민주와 관련해 투자 전에 확인해야 할 사항이 있나요?,Có điều gì cần kiểm tra trước khi đầu tư liên quan đến Báo Dân tộc không?,국민주,국민주,True,주식,,1.0,1.0,1.0,0,,0,
KO-FIN-00618,근저당과 관련된 금리와 비용을 확인하고 싶습니다.,Tôi muốn kiểm tra lãi suất và các khoản phí liên quan đến Thế chấp bất động sản.,근저당,근저당,True,부동산금융,,1.0,1.0,1.0,0,,50,근저당
KO-FIN-00619,근저당을 이용할 때 필요한 서류는 무엇인가요?,Các giấy tờ cần thiết khi sử dụng Thế chấp bất động sản là gì?,근저당,근저당,True,부동산금융,,1.0,1.0,1.0,0,,50,근저당
KO-FIN-00673,금융감독위원회/금융감독원이 금융거래에 어떻게 적용되나요?,Ủy ban Giám sát Tài chính/Cơ quan Giám sát Tài chính được áp dụng như thế nào trong giao dịch tài chính này?,금융감독위원회/금융감독원,금융감독위원회/금융감독원,True,금융법규·감독,,1.0,1.0,1.0,0,,0,
KO-FIN-00675,금융감독위원회/금융감독원 때문에 추가로 확인해야 할 사항이 있나요?,Có vấn đề nào cần kiểm tra thêm do Ủy ban Giám sát Tài chính/Cơ quan Giám sát Tài chính không?,금융감독위원회/금융감독원,금융감독위원회/금융감독원,True,금융법규·감독,,1.0,1.0,1.0,0,,0,
KO-FIN-00738,금융통화운영위원회에서 이용할 수 있는 금융업무는 무엇인가요?,Các dịch vụ tài chính nào có sẵn tại Ủy ban Điều hành Tài chính và Tiền tệ?,금융통화운영위원회,금융통화운영위원회,True,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00978,당일결제거래와 관련된 시장 정보를 확인하고 싶습니다.,Tôi muốn xem thông tin thị trường liên quan đến Giao dịch thanh toán trong ngày.,당일결제거래,당일결제거래,True,금융시장·거래,지급결제·청산,1.0,1.0,1.0,0,,0,
KO-FIN-01278,무담보사채의 조건과 수익 구조를 확인하고 싶습니다.,Tôi muốn tìm hiểu về các điều kiện và cơ cấu lợi nhuận của Trái phiếu không có tài sản đảm bảo.,무담보사채,무담보사채,True,채권,,1.0,1.0,1.0,0,,40,무담보사채
KO-FIN-01361,발기인이 무엇인지 설명해 주세요.,Vui lòng giải thích Người sáng lập là gì.,발기인,발기인,True,주식,,1.0,1.0,1.0,0,,40,발기인
KO-FIN-01561,부실채권 정리기금이 무엇인지 설명해 주세요.,Vui lòng giải thích Quỹ xử lý nợ xấu là gì.,부실채권 정리기금,부실채권 정리기금,True,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-01819,상환과 관련된 투자 정보를 확인하고 싶습니다.,Tôi muốn xem thông tin đầu tư liên quan đến Hoàn trả.,상환,상환,True,자산운용·투자,,1.0,1.0,1.0,0,,30,상환
