sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-05233,계좌 잔액을 확인하고 싶습니다.,Saya ingin memeriksa rekening Saldo.,잔액,잔액,True,계좌,,1.0,1.0,1.0,0,,30,잔액
KO-FIN-05234,최근 한 달간의 거래내역을 확인해 주세요.,Silakan periksa Riwayat Transaksi selama sebulan terakhir.,거래내역,거래내역,True,계좌,,1.0,1.0,1.0,0,,20,거래내역
KO-FIN-05235,제 계좌번호를 어디에서 확인할 수 있나요?,Di mana saya bisa memeriksa Nomor rekening saya?,계좌번호,계좌번호,True,계좌,,1.0,1.0,1.0,0,,0,
KO-FIN-05236,입금한 금액이 계좌에 반영되었는지 확인해 주세요.,Setoran Mohon periksa apakah jumlah tersebut telah tertransfer ke rekening Anda.,입금,입금,True,계좌,,1.0,1.0,1.0,0,,70,입금
KO-FIN-05237,제가 하지 않은 출금 내역이 있습니다.,Ada riwayat Penarikan yang tidak saya lakukan.,출금,출금,True,계좌,,1.0,1.0,1.0,0,,70,출금
KO-FIN-05238,이 계좌를 해지하려면 어떻게 해야 하나요?,Bagaimana cara menutup rekening ini?,,계좌해지,False,계좌,,1.0,1.0,1.0,0,,0,
KO-FIN-05239,이 계좌로 돈을 이체하고 싶습니다.,Saya ingin mentransfer uang ke rekening ini.,,계좌이체,False,이체,,1.0,1.0,1.0,0,,0,
KO-FIN-05240,하루 이체한도는 얼마인가요?,Berapa harga Batas transfer per hari?,이체한도,이체한도,True,이체,,1.0,1.0,1.0,0,,20,이체한도
KO-FIN-05241,계좌이체 수수료가 있나요?,Transfer rekening Apakah ada biaya?,계좌이체,이체수수료,False,이체,,1.0,1.0,1.0,0,,20,계좌이체
KO-FIN-05242,자동이체를 등록하고 싶습니다.,Saya ingin mendaftarkan Pembayaran Otomatis.,자동이체,자동이체,True,이체,,1.0,1.0,1.0,0,,20,자동이체
KO-FIN-05244,다음 주 월요일로 예약이체를 설정해 주세요.,Tolong tetapkan Transfer terjadwal pada hari Senin minggu depan.,예약이체,예약이체,True,이체,,1.0,1.0,1.0,0,,40,예약이체
KO-FIN-05245,방금 잘못 이체했는데 취소할 수 있나요?,"Saya baru saja salah mentransfer uang, apakah bisa dibatalkan?",,이체취소,False,이체,,1.0,1.0,1.0,0,,0,
KO-FIN-05246,이체하기 전에 수취인 이름과 계좌번호를 확인해 주세요.,"Sebelum melakukan transfer, harap periksa nama Penerima dan Nomor rekening.",수취인;계좌번호,수취인,True,이체,,1.0,1.0,1.0,0,,20,수취인
KO-FIN-05247,해외에 있는 가족에게 돈을 보내고 싶습니다.,Saya ingin mengirim uang kepada keluarga saya yang berada di luar negeri.,,해외송금,False,해외송금·외환,,1.0,1.0,1.0,0,,0,
KO-FIN-05248,해외송금 수수료를 확인해 주세요.,Silakan periksa Biaya transfer ke luar negeri.,해외송금 수수료,해외송금 수수료,True,해외송금·외환,,1.0,1.0,1.0,0,,20,해외송금 수수료
KO-FIN-05249,오늘 적용되는 원화와 달러의 환율을 알려주세요.,Tolong beritahu saya nilai tukar Nilai tukar antara won dan dolar yang berlaku hari ini.,환율,환율,True,해외송금·외환,,1.0,1.0,1.0,0,,30,환율
KO-FIN-05250,해외송금에 필요한 SWIFT 코드는 어디에서 확인하나요?,Di mana saya bisa memeriksa Kode SWIFT yang diperlukan untuk Transfer uang ke luar negeri?,해외송금;SWIFT 코드,SWIFT 코드,True,해외송금·외환,,1.0,0.0,1.0,0,,0,
KO-FIN-05251,해외송금 전에 수취은행 정보를 확인하고 싶습니다.,Saya ingin memeriksa informasi Bank Penerima sebelum Transfer uang ke luar negeri.,해외송금;수취은행,수취은행,True,해외송금·외환,,1.0,0.0,1.0,0,,20,수취은행
KO-FIN-05252,외국인 고객의 해외송금 한도는 얼마인가요?,Berapa batas Transfer uang ke luar negeri untuk pelanggan asing?,해외송금,송금한도,False,해외송금·외환,,1.0,1.0,1.0,0,,0,
KO-FIN-05253,해외송금을 했는데 아직 수취인이 돈을 받지 못했습니다.,"Saya sudah melakukan Transfer uang ke luar negeri, tetapi Penerima belum menerima uangnya.",해외송금;수취인,송금상태,False,해외송금·외환,,1.0,1.0,1.0,0,,20,수취인
KO-FIN-05254,원화를 달러로 환전하고 싶습니다.,Saya ingin Penukaran mata uang won ke dolar.,환전,환전,True,해외송금·외환,,1.0,1.0,1.0,0,,70,환전
