sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00001,가격역지정 주문이 무엇을 의미하나요?,Ano ang ibig sabihin ng mga order sa presyo?,,가격역지정 주문,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00005,가격우선의 원칙이 무엇을 의미하나요?,Ano ang ibig sabihin ng prinsipyo ng presyo?,,가격우선의 원칙,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00009,가격제한폭이 무엇을 의미하나요?,Ano ang ibig sabihin ng limitasyon sa presyo?,,가격제한폭,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00014,가교은행에서 이용할 수 있는 금융업무는 무엇인가요?,Ano ang mga tungkulin sa pananalapi na magagamit sa mga bangko?,,가교은행,False,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00019,가산금리에 대해 상담받고 싶습니다.,Gusto kong mag-consult tungkol sa pagbubuntis.,,가산금리,False,대출,,1.0,1.0,1.0,0,,0,
KO-FIN-00022,가쇄 처리 절차를 확인하고 싶습니다.,Gusto kong suriin ang proseso ng pagputol.,,가쇄,False,증권·예탁,금융법규·감독,1.0,1.0,1.0,0,,0,
KO-FIN-00026,가압류의 조건과 수익 구조를 확인하고 싶습니다.,Gusto kong malaman kung ano ang mga kondisyon ng pag-agos ng hangin at ang istraktura ng kita.,,가압류,False,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00029,가중주가평균이 무엇인지 설명해 주세요.,Ipaliwanag kung ano ang average ng timbang.,,가중주가평균,False,주식,금융시장·거래,1.0,1.0,1.0,0,,0,
KO-FIN-00033,간사단이 무엇인지 설명해 주세요.,Ipaliwanag sa akin kung ano ang pagmamay-ari.,,간사단,False,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00038,간사회사 처리 절차를 확인하고 싶습니다.,Gusto kong suriin ang mga pamamaraan ng pag-aalaga.,,간사회사,False,증권·예탁,금융기관·은행,1.0,1.0,1.0,0,,0,
KO-FIN-00043,간접공시 때문에 추가로 확인해야 할 사항이 있나요?,Mayroon bang karagdagang impormasyon na dapat mong suriin dahil sa hindi direktang pagbubukas?,,간접공시,False,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,0,
KO-FIN-00044,간접공시의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.,Ang saklaw ng hindi direktang pagsisiwalat ay maaaring mag-iiba depende sa mga kaugnay na batas at regulasyon.,,간접공시,False,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,0,
KO-FIN-00046,간접금융에서 이용할 수 있는 금융업무는 무엇인가요?,Ano ang mga trabaho sa pananalapi na magagamit sa hindi direktang pagpopondo?,,간접금융,False,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00049,간접모집이 무엇인지 설명해 주세요.,Ipaliwanag mo sa akin kung ano ang isang hindi direktang grupo.,,간접모집,False,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00054,간접발행을 이용하려면 어떤 조건이 필요한가요?,Ano ang mga kundisyon na kailangan upang magamit ang hindi direktang pagpapalabas?,,간접발행,False,기업금융·자본조달,,1.0,1.0,1.0,0,,0,
KO-FIN-00055,간접발행과 관련된 비용과 절차를 확인하고 싶습니다.,Gusto kong malaman kung ano ang mga gastos at mga pamamaraan na nauugnay sa pag-ikot.,,간접발행,False,기업금융·자본조달,,1.0,1.0,1.0,0,,0,
KO-FIN-00058,간접점유 처리 절차를 확인하고 싶습니다.,Gusto kong suriin ang proseso ng pag-aayos ng indirect acquisition.,,간접점유,False,증권·예탁,법률·계약 / 금융법규·감독,1.0,1.0,1.0,0,,0,
KO-FIN-00064,간접참가자를 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.,"Kapag tinitingnan mo ang mga hindi direktang kalahok, tingnan mo ang mga sitwasyon sa merkado at ang mga kondisyon ng kalakalan.",,간접참가자,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00066,간주 처리 절차를 확인하고 싶습니다.,Gusto kong suriin ang proseso ng pag-aayos.,,간주,False,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00069,감리대상종목이 무엇을 의미하나요?,Ano ang ibig sabihin ng mga species na may sensitivity?,,감리대상종목,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00073,감자차익이 무엇인지 설명해 주세요.,Ipaliwanag sa akin kung ano ang panalo sa patatas.,,감자차익,False,주식,,1.0,1.0,1.0,0,,0,
KO-FIN-00077,감채기금이 무엇인지 설명해 주세요.,Ipaliwanag sa akin kung ano ang utang sa utang.,,감채기금,False,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00081,감채기금부채권이 무엇인지 설명해 주세요.,Ipaliwanag sa akin kung ano ang mga utang sa utang.,,감채기금부채권,False,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00085,강세장이 무엇을 의미하나요?,Ano ang ibig sabihin ng Stronghold?,,강세장,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00090,강제매수와 관련된 시장 정보를 확인하고 싶습니다.,Nais kong suriin ang impormasyon ng merkado na may kinalaman sa pagbebenta ng sapilitang kalakal.,,강제매수,False,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00095,개발신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,Ano ang dapat mong suriin bago sumali sa isang development trust?,,개발신탁,False,펀드·신탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00098,개방식 담보사채의 조건과 수익 구조를 확인하고 싶습니다.,Gusto kong malaman kung ano ang mga kondisyon at istraktura ng kita ng mga open-ended securities.,,개방식 담보사채,False,채권,,1.0,1.0,1.0,0,,0,
