lang,sentence_id,ko_source,nllb_baseline_mt,nllb_baseline_score,pipeline_mt,pipeline_score,comet_diff,nllb_back_ko,pipeline_back_ko,nllb_labse_sim,pipeline_labse_sim,labse_diff,max_suspicion_score
tha_Thai,KO-FIN-02027,스프리트에 대해 상담받고 싶습니다.,ผมอยากได้คําปรึกษาเกี่ยวกับสปริต,0.8569405674934387,ผมต้องการสอบถามเกี่ยวกับ จิตวิญญาณ,0.462445855140686,-0.3944947123527527,스피릿에 대한 상담이 필요해요,영혼에 대한 질문을 하고 싶습니다.,0.8467811346054077,0.5913596153259277,-0.25542151927948,40
tgl_Latn,KO-FIN-00305,고객예탁증권이 무엇인지 설명해 주세요.,Ipaliwanag mo kung ano ang customer deposit certificate.,0.8571064472198486,Ipaliwanag kung ano ang Mga pasilidad ng customer..,0.4767281711101532,-0.3803782761096954,고객 보증증서가 무엇인지 설명해 주세요.,고객 시설에 대해 설명해 주세요,0.9389482736587524,0.6676274538040161,-0.27132081985473633,20
tgl_Latn,KO-FIN-01278,무담보사채의 조건과 수익 구조를 확인하고 싶습니다.,Gusto kong suriin ang mga kondisyon at istraktura ng kita ng mga utang na walang garantiya.,0.8635640144348145,Gusto kong suriin ang mga kondisyon at istraktura ng kita ng Walang pakialam..,0.4971175491809845,-0.3664464652538299,저는 무보증 대출의 조건과 수익 구조를 살펴보고 싶습니다.,저는 무관심의 조건과 소득 구조를 조사하고 싶습니다.,0.9457287788391113,0.8833640813827515,-0.06236469745635986,40
vie_Latn,KO-FIN-02661,이익잉여금이 무엇을 의미하나요?,Lợi nhuận thặng dư nghĩa là gì?,0.8888946175575256,Lợi nhuận chưa phân phối có nghĩa là gì?,0.532423734664917,-0.3564708828926086,과잉이익이란 무엇인가요?,분배되지 않은 이익이란 무엇인가요?,0.7344432473182678,0.7092865705490112,-0.025156676769256592,40
mya_Mymr,KO-FIN-03262,증권거래세와 관련된 시장 정보를 확인하고 싶습니다.,စတော့အခွန်နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို ကြည့်ချင်တယ်။,0.8686938881874084,ဒါက စတော့စျေးကွက်ပါ။ နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို စစ်ဆေးချင်ပါတယ်။,0.5472230911254883,-0.3214707970619201,저는 증권세와 관련된 시장 데이터를 보고 싶었습니다.,이건 주식 시장입니다. 그리고 저는 시장 데이터를 테스트하고 싶었습니다.,0.9191826581954956,0.6990835070610046,-0.22009915113449097,40
ind_Latn,KO-FIN-00993,대권이 무엇인지 설명해 주세요.,Jelaskan apa itu hak pilih.,0.8313242197036743,Tolong jelaskan apa itu Perebutan kursi kepresidenan.,0.5099391341209412,-0.3213850855827331,선택권이 무엇인지 설명해 주세요.,대통령 직권 경쟁이 무엇인지 설명해 주시겠습니까?,0.8718482255935669,0.622719407081604,-0.2491288185119629,60
tgl_Latn,KO-FIN-00185,결제리스크 관리제도가 무엇인지 설명해 주세요.,Ipaliwanag mo kung ano ang isang sistema ng pamamahala ng panganib sa pagbabayad.,0.7599416971206665,Ipaliwanag kung ano ang Ang pagmamaneho ng panganib sa pagbabayad.,0.454733282327652,-0.3052084147930145,결제 위험 관리 시스템이 무엇인지 설명하세요.,지불에 대한 위험 운전이 무엇인지 설명해 주세요.,0.8490526676177979,0.7182620763778687,-0.1307905912399292,40
tgl_Latn,KO-FIN-00609,규정재정이 금융거래에 어떻게 적용되나요?,Paano ang mga regulasyon ay naaangkop sa pangangalakal sa pananalapi?,0.8201560378074646,Paano ito nalalapat sa pananalapi?,0.5166495442390442,-0.3035064935684204,법규는 금융에 어떻게 적용되나요?,이것은 어떻게 재정적으로 적용될까요?,0.8965780735015869,0.6618755459785461,-0.23470252752304077,40
tgl_Latn,KO-FIN-02865,자본잉여금이 무엇인지 설명해 주세요.,Ipaliwanag sa akin kung ano ang kapital surplus.,0.8607749938964844,Ipaliwanag kung ano ang Ang mga kapital na dagdag.,0.5665743350982666,-0.2942006587982178,자본의 잉여가 무엇인지 설명해 주세요.,부가자본이 무엇인지 설명해 주세요.,0.9186239242553711,0.8895301818847656,-0.02909374237060547,20
mya_Mymr,KO-FIN-00978,당일결제거래와 관련된 시장 정보를 확인하고 싶습니다.,တစ်နေ့တာ ငွေပေးချေမှုတွေနဲ့ ပတ်သက်တဲ့ စျေးကွက် သတင်းအချက်အလက်တွေကို ကြည့်ချင်တယ်။,0.8254382610321045,တစ်နေ့တာ စီမံကိန်းပါ။ နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို စစ်ဆေးချင်ပါတယ်။,0.5448920726776123,-0.2805461883544922,우리는 하루 동안의 거래에 대한 시장 정보를 보고 싶었습니다.,하루의 프로젝트입니다. 시장 데이터를 확인하고 싶습니다.,0.8206613063812256,0.7068814039230347,-0.11377990245819092,40
