sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00001,가격역지정 주문이 무엇을 의미하나요?,ကုန်ကျစရိတ် သတ်မှတ်ချက်။ ဆိုတာ ဘာကိုဆိုလိုတာလဲ။,가격역지정 주문,가격역지정 주문,True,금융시장·거래,,1.0,1.0,1.0,0,,40,가격역지정 주문
KO-FIN-00005,가격우선의 원칙이 무엇을 의미하나요?,ဈေးနှုန်း မြင့်မားမှု မူဝါဒ ဆိုတာ ဘာကိုဆိုလိုတာလဲ။,가격우선의 원칙,가격우선의 원칙,True,금융시장·거래,,1.0,1.0,1.0,0,,40,가격우선의 원칙
KO-FIN-00009,가격제한폭이 무엇을 의미하나요?,ကုန်ကျစရိတ် ကန့်သတ်ချက် ဆိုတာ ဘာကိုဆိုလိုတာလဲ။,가격제한폭,가격제한폭,True,금융시장·거래,,1.0,1.0,1.0,0,,20,가격제한폭
KO-FIN-00014,가교은행에서 이용할 수 있는 금융업무는 무엇인가요?,ချိတ်ဆက်ရေး ဘဏ် မှာ သုံးနိုင်တဲ့ ဘဏ္ဍာရေးလုပ်ငန်းတွေက ဘာတွေလဲ။,가교은행,가교은행,True,금융기관·은행,,1.0,1.0,1.0,0,,20,가교은행
KO-FIN-00019,가산금리에 대해 상담받고 싶습니다.,အိမ်မွေးတိရစ္ဆာန် အကြောင်းကို မေးမြန်းလိုပါတယ်။,가산금리,가산금리,True,대출,,1.0,1.0,1.0,0,,40,가산금리
KO-FIN-00026,가압류의 조건과 수익 구조를 확인하고 싶습니다.,ဖိအားပေးသတ္တဝါများ ရဲ့ အခြေအနေနဲ့ ဝင်ငွေ တည်ဆောက်ပုံကို စစ်ဆေးချင်ပါတယ်။,가압류,가압류,True,채권,,1.0,1.0,1.0,0,,40,가압류
KO-FIN-00029,가중주가평균이 무엇인지 설명해 주세요.,အဝလွန်သူတွေဟာ ပျမ်းမျှအားဖြင့် ဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,가중주가평균,가중주가평균,True,주식,금융시장·거래,1.0,1.0,1.0,0,,40,가중주가평균
KO-FIN-00033,간사단이 무엇인지 설명해 주세요.,စောင့်ကြည့်ရေး ဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,간사단,간사단,True,증권·예탁,,1.0,1.0,1.0,0,,40,간사단
KO-FIN-00038,간사회사 처리 절차를 확인하고 싶습니다.,စောင့်ရှောက်သူပါ။ ကို စစ်ဆေးချင်ပါတယ်။,간사회사,간사회사,True,증권·예탁,금융기관·은행,1.0,1.0,1.0,0,,40,간사회사
KO-FIN-00046,간접금융에서 이용할 수 있는 금융업무는 무엇인가요?,တိုက်ရိုက် ငွေကြေးထောက်ပံ့မှု မှာ သုံးနိုင်တဲ့ ဘဏ္ဍာရေးလုပ်ငန်းတွေက ဘာတွေလဲ။,간접금융,간접금융,True,금융기관·은행,,1.0,1.0,1.0,0,,40,간접금융
KO-FIN-00054,간접발행을 이용하려면 어떤 조건이 필요한가요?,ဘေးထွက်ဆိုးကျိုးတွေ ကို အသုံးပြုဖို့ ဘယ်လို အခြေအနေတွေ လိုအပ်ပါသလဲ။,간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,40,간접발행
KO-FIN-00055,간접발행과 관련된 비용과 절차를 확인하고 싶습니다.,ဘေးထွက်ဆိုးကျိုးတွေ နဲ့ ပတ်သက်တဲ့ ကုန်ကျစရိတ်နဲ့ လုပ်ထုံးလုပ်နည်းတွေကို စစ်ဆေးချင်ပါတယ်။,간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,40,간접발행
KO-FIN-00058,간접점유 처리 절차를 확인하고 싶습니다.,တိုက်ရိုက် ဝယ်ယူခြင်း။ ကို စစ်ဆေးချင်ပါတယ်။,간접점유,간접점유,True,증권·예탁,법률·계약 / 금융법규·감독,1.0,1.0,1.0,0,,40,간접점유
