sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00001,가격역지정 주문이 무엇을 의미하나요?,Lệnh đặt giá ngược có nghĩa là gì?,가격역지정 주문,가격역지정 주문,True,금융시장·거래,,1.0,1.0,1.0,0,,20,가격역지정 주문
KO-FIN-00005,가격우선의 원칙이 무엇을 의미하나요?,Nguyên tắc ưu tiên giá cả có nghĩa là gì?,가격우선의 원칙,가격우선의 원칙,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00009,가격제한폭이 무엇을 의미하나요?,Mức dao động giá tối đa có nghĩa là gì?,가격제한폭,가격제한폭,True,금융시장·거래,,1.0,1.0,1.0,0,,20,가격제한폭
KO-FIN-00014,가교은행에서 이용할 수 있는 금융업무는 무엇인가요?,Các dịch vụ tài chính nào có sẵn tại Ngân hàng trung gian?,가교은행,가교은행,True,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00019,가산금리에 대해 상담받고 싶습니다.,Tôi muốn được tư vấn về Lãi suất cộng thêm.,가산금리,가산금리,True,대출,,1.0,1.0,1.0,0,,40,가산금리
KO-FIN-00022,가쇄 처리 절차를 확인하고 싶습니다.,Tôi muốn kiểm tra quy trình xử lý Chuỗi.,가쇄,가쇄,True,증권·예탁,금융법규·감독,1.0,1.0,1.0,0,,70,가쇄
KO-FIN-00026,가압류의 조건과 수익 구조를 확인하고 싶습니다.,Tôi muốn tìm hiểu về các điều kiện và cơ cấu lợi nhuận của Tạm giữ tài sản.,가압류,가압류,True,채권,,1.0,1.0,1.0,0,,40,가압류
KO-FIN-00029,가중주가평균이 무엇인지 설명해 주세요.,Vui lòng giải thích Trung bình giá trị gia quyền là gì.,가중주가평균,가중주가평균,True,주식,금융시장·거래,1.0,1.0,1.0,0,,40,가중주가평균
KO-FIN-00033,간사단이 무엇인지 설명해 주세요.,Vui lòng giải thích Ban thư ký là gì.,간사단,간사단,True,증권·예탁,,1.0,1.0,1.0,0,,40,간사단
KO-FIN-00038,간사회사 처리 절차를 확인하고 싶습니다.,Tôi muốn tìm hiểu về quy trình xử lý Công ty quản lý quỹ.,간사회사,간사회사,True,증권·예탁,금융기관·은행,1.0,1.0,1.0,0,,20,간사회사
KO-FIN-00043,간접공시 때문에 추가로 확인해야 할 사항이 있나요?,Có vấn đề nào cần kiểm tra thêm do Công bố gián tiếp không?,간접공시,간접공시,True,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,20,간접공시
KO-FIN-00044,간접공시의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.,Phạm vi áp dụng của Công bố gián tiếp có thể thay đổi tùy theo các văn bản pháp luật và quy định liên quan.,간접공시,간접공시,True,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,20,간접공시
KO-FIN-00046,간접금융에서 이용할 수 있는 금융업무는 무엇인가요?,Các dịch vụ tài chính nào có sẵn tại Tài chính gián tiếp?,간접금융,간접금융,True,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00049,간접모집이 무엇인지 설명해 주세요.,Vui lòng giải thích Tuyển dụng gián tiếp là gì.,간접모집,간접모집,True,증권·예탁,,1.0,1.0,1.0,0,,20,간접모집
KO-FIN-00054,간접발행을 이용하려면 어떤 조건이 필요한가요?,"Để sử dụng Phát hành gián tiếp, cần phải đáp ứng những điều kiện nào?",간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,20,간접발행
KO-FIN-00055,간접발행과 관련된 비용과 절차를 확인하고 싶습니다.,Tôi muốn tìm hiểu về các chi phí và thủ tục liên quan đến Phát hành gián tiếp.,간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,20,간접발행
KO-FIN-00058,간접점유 처리 절차를 확인하고 싶습니다.,Tôi muốn tìm hiểu về quy trình xử lý Sở hữu gián tiếp.,간접점유,간접점유,True,증권·예탁,법률·계약 / 금융법규·감독,1.0,1.0,1.0,0,,0,
KO-FIN-00064,간접참가자를 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.,"Khi xem xét Người tham gia gián tiếp, hãy cân nhắc cả tình hình thị trường và các điều kiện giao dịch.",간접참가자,간접참가자,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00066,간주 처리 절차를 확인하고 싶습니다.,Tôi muốn tìm hiểu về quy trình xử lý coi là.,간주,간주,True,증권·예탁,,1.0,1.0,1.0,0,,70,간주
KO-FIN-00069,감리대상종목이 무엇을 의미하나요?,Các mặt hàng thuộc đối tượng giám sát có nghĩa là gì?,감리대상종목,감리대상종목,True,금융시장·거래,,1.0,1.0,1.0,0,,20,감리대상종목
KO-FIN-00073,감자차익이 무엇인지 설명해 주세요.,Vui lòng giải thích Lợi nhuận từ chênh lệch giá khoai tây là gì.,감자차익,감자차익,True,주식,,1.0,1.0,1.0,0,,30,감자차익
KO-FIN-00077,감채기금이 무엇인지 설명해 주세요.,Vui lòng giải thích Quỹ Gamchae là gì.,감채기금,감채기금,True,채권,,1.0,1.0,1.0,0,,40,감채기금
KO-FIN-00081,감채기금부채권이 무엇인지 설명해 주세요.,Vui lòng giải thích Trái phiếu từ Quỹ hỗ trợ nông nghiệp là gì.,감채기금부채권,감채기금부채권,True,채권,,1.0,1.0,1.0,0,,20,감채기금부채권
KO-FIN-00085,강세장이 무엇을 의미하나요?,Thị trường tăng giá có nghĩa là gì?,강세장,강세장,True,금융시장·거래,,1.0,1.0,1.0,0,,40,강세장
KO-FIN-00090,강제매수와 관련된 시장 정보를 확인하고 싶습니다.,Tôi muốn xem thông tin thị trường liên quan đến Mua bắt buộc.,강제매수,강제매수,True,금융시장·거래,,1.0,1.0,1.0,0,,40,강제매수
KO-FIN-00095,개발신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,"Trước khi đăng ký Quỹ phát triển, tôi cần kiểm tra những điểm nào?",개발신탁,개발신탁,True,펀드·신탁,,1.0,1.0,1.0,0,,20,개발신탁
KO-FIN-00098,개방식 담보사채의 조건과 수익 구조를 확인하고 싶습니다.,Tôi muốn tìm hiểu về các điều kiện và cơ cấu lợi nhuận của Trái phiếu có bảo đảm mở.,개방식 담보사채,개방식 담보사채,True,채권,,1.0,1.0,1.0,0,,40,개방식 담보사채
KO-FIN-00104,개방형 리포의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.,"Để xác định liệu Báo cáo mở có được áp dụng hay không, cần phải kiểm tra nội dung của Hợp đồng và các văn bản pháp luật liên quan.",개방형 리포;계약,개방형 리포,True,법률·계약,,1.0,1.0,1.0,0,,30,개방형 리포;계약
KO-FIN-00107,개방형 투자신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,"Trước khi đăng ký Quỹ đầu tư mở, tôi cần kiểm tra những điều gì?",개방형 투자신탁,개방형 투자신탁,True,펀드·신탁,자산운용·투자,1.0,1.0,1.0,0,,40,개방형 투자신탁
KO-FIN-00111,개별결제 과정에서 문제가 발생한 것 같습니다.,Có vẻ như đã xảy ra sự cố trong quá trình Thanh toán riêng lẻ.,개별결제,개별결제,True,지급결제·청산,,1.0,1.0,1.0,0,,0,
KO-FIN-00114,개별경쟁매매와 관련된 시장 정보를 확인하고 싶습니다.,Tôi muốn xem thông tin thị trường liên quan đến Giao dịch cạnh tranh riêng lẻ.,개별경쟁매매,개별경쟁매매,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00117,개시증거금이 무엇인지 쉽게 설명해 주세요.,Xin vui lòng giải thích một cách dễ hiểu về Khoản ký quỹ ban đầu là gì.,개시증거금,개시증거금,True,파생상품,,1.0,1.0,1.0,0,,20,개시증거금
KO-FIN-00121,거래량비율이 무엇을 의미하나요?,Tỷ lệ khối lượng giao dịch có nghĩa là gì?,거래량비율,거래량비율,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00125,거래량회전율이 무엇을 의미하나요?,Tỷ lệ luân chuyển khối lượng giao dịch có nghĩa là gì?,거래량회전율,거래량회전율,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00129,거래성립률이 무엇을 의미하나요?,Tỷ lệ giao dịch thành công có nghĩa là gì?,거래성립률,거래성립률,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00133,거래소 시장이 무엇을 의미하나요?,Thị trường sàn giao dịch có nghĩa là gì?,거래소 시장,거래소 시장,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00137,거래소 회원이 무엇을 의미하나요?,Thành viên sàn giao dịch có nghĩa là gì?,거래소 회원,거래소 회원,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00142,거래취소와 관련된 시장 정보를 확인하고 싶습니다.,Tôi muốn xem thông tin thị trường liên quan đến Hủy giao dịch.,거래취소,거래취소,True,금융시장·거래,지급결제·청산,1.0,1.0,1.0,0,,0,
KO-FIN-00146,건설이자와 관련된 정보를 확인하고 싶습니다.,Tôi muốn tra cứu thông tin liên quan đến Lãi suất cho vay xây dựng.,건설이자,건설이자,True,주식,,1.0,1.0,1.0,0,,0,
KO-FIN-00149,겐사끼시장이 무엇을 의미하나요?,Chợ Gensaki có nghĩa là gì?,겐사끼시장,겐사끼시장,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00154,격탁매매와 관련된 시장 정보를 확인하고 싶습니다.,Tôi muốn xem thông tin thị trường liên quan đến Giao dịch chênh lệch giá.,격탁매매,격탁매매,True,금융시장·거래,,1.0,1.0,1.0,0,,40,격탁매매
KO-FIN-00157,견양증권이 무엇인지 설명해 주세요.,Vui lòng giải thích Gyeonyang Securities là gì.,견양증권,견양증권,True,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00162,결산을 통해 어떤 정보를 확인할 수 있나요?,"Thông qua Báo cáo tài chính, tôi có thể tra cứu những thông tin nào?",결산,결산,True,회계·재무,,1.0,1.0,1.0,0,,70,결산
KO-FIN-00164,결산은 기준 시점과 작성 기준을 함께 확인해야 합니다.,"Đối với Báo cáo tài chính, cần phải kiểm tra cả thời điểm tham chiếu và tiêu chí lập báo cáo.",결산,결산,True,회계·재무,,1.0,1.0,1.0,0,,70,결산
KO-FIN-00168,결산보고서는 기준 시점과 작성 기준을 함께 확인해야 합니다.,"Đối với Báo cáo tài chính, cần phải xác minh cả thời điểm tham chiếu và tiêu chí lập báo cáo.",결산보고서,결산보고서,True,회계·재무,,1.0,1.0,1.0,0,,0,
KO-FIN-00169,결제기구가 무엇인지 설명해 주세요.,Xin vui lòng giải thích Tổ chức thanh toán là gì.,결제기구,결제기구,True,지급결제·청산,증권·예탁 / 금융시장·거래,1.0,1.0,1.0,0,,0,
KO-FIN-00173,결제기금이 무엇인지 설명해 주세요.,Vui lòng giải thích Quỹ thanh toán là gì.,결제기금,결제기금,True,지급결제·청산,,1.0,1.0,1.0,0,,0,
KO-FIN-00177,결제대금주선제도가 무엇인지 설명해 주세요.,Xin vui lòng giải thích Chế độ hỗ trợ thanh toán là gì.,결제대금주선제도,결제대금주선제도,True,지급결제·청산,금융기관·은행 / 증권·예탁,1.0,1.0,1.0,0,,40,결제대금주선제도
KO-FIN-00181,결제대용증이 무엇인지 설명해 주세요.,Vui lòng giải thích Giấy chứng nhận thanh toán là gì.,결제대용증,결제대용증,True,지급결제·청산,증권·예탁,1.0,1.0,1.0,0,,0,
KO-FIN-00185,결제리스크 관리제도가 무엇인지 설명해 주세요.,Xin vui lòng giải thích Hệ thống quản lý rủi ro thanh toán là gì.,결제리스크 관리제도,결제리스크 관리제도,True,지급결제·청산,신용·리스크 / 금융기관·은행,1.0,1.0,1.0,0,,20,결제리스크 관리제도
KO-FIN-00191,결제불이행거래 과정에서 문제가 발생한 것 같습니다.,Có vẻ như đã xảy ra sự cố trong quá trình Giao dịch không thanh toán.,결제불이행거래,결제불이행거래,True,지급결제·청산,금융시장·거래,1.0,1.0,1.0,0,,20,결제불이행거래
KO-FIN-00193,결제순서조작이 무엇인지 설명해 주세요.,Vui lòng giải thích Thao túng trình tự thanh toán là gì.,결제순서조작,결제순서조작,True,지급결제·청산,,1.0,1.0,1.0,0,,0,
KO-FIN-00197,결제시한이 무엇인지 설명해 주세요.,Vui lòng giải thích Hạn chót thanh toán là gì.,결제시한,결제시한,True,지급결제·청산,,1.0,1.0,1.0,0,,40,결제시한
KO-FIN-00205,결제위험의 비대칭성이 무엇인지 설명해 주세요.,Vui lòng giải thích Tính bất đối xứng của rủi ro thanh toán là gì.,결제위험의 비대칭성,결제위험의 비대칭성,True,지급결제·청산,신용·리스크 / 금융시장·거래,1.0,1.0,1.0,0,,0,
KO-FIN-00209,결제은행제도가 무엇인지 설명해 주세요.,Xin vui lòng giải thích Hệ thống ngân hàng thanh toán là gì.,결제은행제도,결제은행제도,True,지급결제·청산,금융기관·은행,1.0,1.0,1.0,0,,0,
KO-FIN-00213,결제일이 무엇인지 설명해 주세요.,Vui lòng giải thích Ngày thanh toán là gì.,결제일,결제일,True,지급결제·청산,,1.0,1.0,1.0,0,,0,
KO-FIN-00217,결제적체현상이 무엇인지 설명해 주세요.,Vui lòng giải thích Tình trạng ùn tắc thanh toán là gì.,결제적체현상,결제적체현상,True,지급결제·청산,,1.0,1.0,1.0,0,,20,결제적체현상
KO-FIN-00221,결제전 예납이 무엇을 의미하나요?,Thanh toán trước khi thanh toán có nghĩa là gì?,결제전 예납,결제전 예납,True,금융시장·거래,지급결제·청산,1.0,1.0,1.0,0,,40,결제전 예납
KO-FIN-00225,결제후 업무처리가 무엇인지 설명해 주세요.,Xin vui lòng giải thích Xử lý công việc sau khi thanh toán là gì.,결제후 업무처리,결제후 업무처리,True,지급결제·청산,,1.0,1.0,1.0,0,,20,결제후 업무처리
KO-FIN-00234,겸업주의에서 이용할 수 있는 금융업무는 무엇인가요?,Các dịch vụ tài chính nào có sẵn tại Nguyên tắc kiêm nhiệm?,겸업주의,겸업주의,True,금융기관·은행,,1.0,1.0,1.0,0,,40,겸업주의
KO-FIN-00238,경개의 조건과 수익 구조를 확인하고 싶습니다.,Tôi muốn tìm hiểu về các điều kiện và cơ cấu lợi nhuận của Cảnh quan.,경개,경개,True,채권,증권·예탁 / 법률·계약 / 금융시장·거래,1.0,1.0,1.0,0,,30,경개
KO-FIN-00241,경개적 차감이 무엇인지 설명해 주세요.,Vui lòng giải thích Khấu trừ theo tỷ lệ cố định là gì.,경개적 차감,경개적 차감,True,채권,,1.0,1.0,1.0,0,,40,경개적 차감
KO-FIN-00248,경과이자를 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.,"Khi xem xét Lãi suất lũy tiến, hãy xem xét cả tình hình thị trường và các điều kiện giao dịch.",경과이자,경과이자,True,금융시장·거래,,1.0,1.0,1.0,0,,40,경과이자
KO-FIN-00251,최근 경기종합지수의 변화를 확인하고 싶습니다.,Tôi muốn xem những thay đổi gần đây của Chỉ số tổng hợp Gyeonggi.,경기종합지수,경기종합지수,True,경제·거시금융,,1.0,1.0,1.0,0,,0,
KO-FIN-00255,최근 경상수지의 변화를 확인하고 싶습니다.,Tôi muốn xem những thay đổi gần đây của Cán cân vãng lai.,경상수지,경상수지,True,경제·거시금융,,1.0,1.0,1.0,0,,40,경상수지
KO-FIN-00258,경쟁매매와 관련된 시장 정보를 확인하고 싶습니다.,Tôi muốn kiểm tra thông tin thị trường liên quan đến Giao dịch cạnh tranh.,경쟁매매,경쟁매매,True,금융시장·거래,,1.0,1.0,1.0,0,,20,경쟁매매
KO-FIN-00263,최근 경제통합의 변화를 확인하고 싶습니다.,Tôi muốn xem những thay đổi gần đây của Hội nhập kinh tế.,경제통합,경제통합,True,경제·거시금융,,1.0,1.0,1.0,0,,0,
KO-FIN-00264,경제통합은 다른 경제지표와 함께 해석하는 것이 좋습니다.,Nên phân tích Hội nhập kinh tế cùng với các chỉ số kinh tế khác.,경제통합,경제통합,True,경제·거시금융,,1.0,1.0,1.0,0,,0,
KO-FIN-00267,최근 경제협력개발기구의 변화를 확인하고 싶습니다.,Tôi muốn xem những thay đổi gần đây của Tổ chức Hợp tác và Phát triển Kinh tế.,경제협력개발기구,경제협력개발기구,True,경제·거시금융,,1.0,1.0,1.0,0,,0,
KO-FIN-00272,계약의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.,"Để xác định liệu Hợp đồng có được áp dụng hay không, cần phải kiểm tra nội dung của Hợp đồng và các văn bản pháp luật liên quan.",계약;계약,계약,True,법률·계약,,1.0,1.0,1.0,0,,30,계약;계약
KO-FIN-00275,계약형투자신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,"Trước khi đăng ký Quỹ đầu tư theo hợp đồng, tôi cần kiểm tra những điều gì?",계약형투자신탁,계약형투자신탁,True,펀드·신탁,자산운용·투자 / 법률·계약,1.0,1.0,1.0,0,,0,
KO-FIN-00279,계절주와 관련해 투자 전에 확인해야 할 사항이 있나요?,Có điều gì cần kiểm tra trước khi đầu tư liên quan đến Rượu theo mùa không?,계절주,계절주,True,주식,,1.0,1.0,1.0,0,,20,계절주
KO-FIN-00282,계좌대체 처리 절차를 확인하고 싶습니다.,Tôi muốn kiểm tra quy trình xử lý Thay đổi tài khoản.,계좌대체,계좌대체,True,증권·예탁,,1.0,1.0,1.0,0,,40,계좌대체
KO-FIN-00285,계좌설정이 무엇인지 설명해 주세요.,Vui lòng giải thích Cài đặt tài khoản là gì.,계좌설정,계좌설정,True,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00290,고객계좌부 처리 절차를 확인하고 싶습니다.,Tôi muốn tìm hiểu về quy trình xử lý Sổ tài khoản khách hàng.,고객계좌부,고객계좌부,True,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00294,고객계좌자동이전서비스 처리 절차를 확인하고 싶습니다.,Tôi muốn tìm hiểu quy trình xử lý Dịch vụ chuyển đổi tài khoản khách hàng tự động.,고객계좌자동이전서비스,고객계좌자동이전서비스,True,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00298,고객예탁금 이용료 처리 절차를 확인하고 싶습니다.,Tôi muốn tìm hiểu về quy trình xử lý Phí sử dụng tiền ký quỹ của khách hàng.,고객예탁금 이용료,고객예탁금 이용료,True,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00301,고객예탁분이 무엇인지 설명해 주세요.,Vui lòng giải thích Số tiền ký quỹ của khách hàng là gì.,고객예탁분,고객예탁분,True,증권·예탁,,1.0,1.0,1.0,0,,20,고객예탁분
KO-FIN-00305,고객예탁증권이 무엇인지 설명해 주세요.,Vui lòng giải thích Chứng khoán ký quỹ của khách hàng là gì.,고객예탁증권,고객예탁증권,True,증권·예탁,,1.0,1.0,1.0,0,,0,
KO-FIN-00310,고오든 모형은 금융상품을 분석할 때 어떻게 사용되나요?,Mô hình Gordon được sử dụng như thế nào trong việc phân tích các sản phẩm tài chính?,고오든 모형,고오든 모형,True,금융공학·분석,,1.0,1.0,1.0,0,,0,
