sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00001,가격역지정 주문이 무엇을 의미하나요?,Apa arti Pesanan dengan Harga yang Ditentukan?,가격역지정 주문,가격역지정 주문,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00005,가격우선의 원칙이 무엇을 의미하나요?,Apa arti Prinsip prioritas harga?,가격우선의 원칙,가격우선의 원칙,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00009,가격제한폭이 무엇을 의미하나요?,Apa arti Batas fluktuasi harga?,가격제한폭,가격제한폭,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00014,가교은행에서 이용할 수 있는 금융업무는 무엇인가요?,Layanan keuangan apa saja yang tersedia di Bank Jembatan?,가교은행,가교은행,True,금융기관·은행,,1.0,1.0,1.0,0,,40,가교은행
KO-FIN-00019,가산금리에 대해 상담받고 싶습니다.,Saya ingin berkonsultasi mengenai Suku bunga tambahan.,가산금리,가산금리,True,대출,,1.0,1.0,1.0,0,,0,
KO-FIN-00022,가쇄 처리 절차를 확인하고 싶습니다.,Saya ingin mengetahui prosedur penanganan pengait.,가쇄,가쇄,True,증권·예탁,금융법규·감독,1.0,1.0,1.0,0,,70,가쇄
KO-FIN-00026,가압류의 조건과 수익 구조를 확인하고 싶습니다.,Saya ingin mengetahui syarat dan struktur keuntungan dari Penyitaan sementara.,가압류,가압류,True,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00029,가중주가평균이 무엇인지 설명해 주세요.,Tolong jelaskan apa itu Rata-rata tertimbang.,가중주가평균,가중주가평균,True,주식,금융시장·거래,1.0,1.0,1.0,0,,0,
KO-FIN-00033,간사단이 무엇인지 설명해 주세요.,Tolong jelaskan apa itu Tim Sekretariat.,간사단,간사단,True,증권·예탁,,1.0,1.0,1.0,0,,40,간사단
KO-FIN-00038,간사회사 처리 절차를 확인하고 싶습니다.,Saya ingin mengetahui prosedur penanganan Perusahaan Pengelola.,간사회사,간사회사,True,증권·예탁,금융기관·은행,1.0,1.0,1.0,0,,20,간사회사
KO-FIN-00043,간접공시 때문에 추가로 확인해야 할 사항이 있나요?,Apakah ada hal lain yang perlu diperiksa terkait Pengungkapan tidak langsung?,간접공시,간접공시,True,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,20,간접공시
KO-FIN-00044,간접공시의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.,Ruang lingkup penerapan Pengungkapan tidak langsung dapat berbeda-beda sesuai dengan undang-undang dan peraturan yang berlaku.,간접공시,간접공시,True,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,20,간접공시
KO-FIN-00046,간접금융에서 이용할 수 있는 금융업무는 무엇인가요?,Layanan keuangan apa saja yang tersedia di Pembiayaan tidak langsung?,간접금융,간접금융,True,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00049,간접모집이 무엇인지 설명해 주세요.,Tolong jelaskan apa itu Perekrutan tidak langsung.,간접모집,간접모집,True,증권·예탁,,1.0,1.0,1.0,0,,20,간접모집
KO-FIN-00054,간접발행을 이용하려면 어떤 조건이 필요한가요?,Apa saja syarat yang diperlukan untuk menggunakan Penerbitan tidak langsung?,간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,20,간접발행
KO-FIN-00055,간접발행과 관련된 비용과 절차를 확인하고 싶습니다.,Saya ingin mengetahui biaya dan prosedur yang terkait dengan Penerbitan tidak langsung.,간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,20,간접발행
KO-FIN-00058,간접점유 처리 절차를 확인하고 싶습니다.,Saya ingin mengetahui prosedur penanganan Kepemilikan tidak langsung.,간접점유,간접점유,True,증권·예탁,법률·계약 / 금융법규·감독,1.0,1.0,1.0,0,,0,
KO-FIN-00064,간접참가자를 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.,"Saat memeriksa Peserta tidak langsung, perhatikan juga kondisi pasar dan ketentuan perdagangan.",간접참가자,간접참가자,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00066,간주 처리 절차를 확인하고 싶습니다.,Saya ingin mengetahui prosedur penanganan Anggapan.,간주,간주,True,증권·예탁,,1.0,1.0,1.0,0,,70,간주
KO-FIN-00069,감리대상종목이 무엇을 의미하나요?,Apa arti Sektor yang Diawasi?,감리대상종목,감리대상종목,True,금융시장·거래,,1.0,1.0,1.0,0,,40,감리대상종목
KO-FIN-00073,감자차익이 무엇인지 설명해 주세요.,Tolong jelaskan apa itu Keuntungan dari selisih harga kentang.,감자차익,감자차익,True,주식,,1.0,1.0,1.0,0,,30,감자차익
KO-FIN-00077,감채기금이 무엇인지 설명해 주세요.,Tolong jelaskan apa itu Dana Pengurangan Utang.,감채기금,감채기금,True,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00081,감채기금부채권이 무엇인지 설명해 주세요.,Tolong jelaskan apa itu Obligasi Dana Pengurangan Utang.,감채기금부채권,감채기금부채권,True,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00085,강세장이 무엇을 의미하나요?,Apa arti Pasar bullish?,강세장,강세장,True,금융시장·거래,,1.0,1.0,1.0,0,,40,강세장
KO-FIN-00090,강제매수와 관련된 시장 정보를 확인하고 싶습니다.,Saya ingin memeriksa informasi pasar terkait Pembelian Paksa.,강제매수,강제매수,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00095,개발신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,Apa saja yang perlu diperiksa sebelum mendaftar ke Perwalian Pembangunan?,개발신탁,개발신탁,True,펀드·신탁,,1.0,1.0,1.0,0,,40,개발신탁
KO-FIN-00098,개방식 담보사채의 조건과 수익 구조를 확인하고 싶습니다.,Saya ingin mengetahui syarat dan struktur keuntungan dari Obligasi dengan jaminan terbuka.,개방식 담보사채,개방식 담보사채,True,채권,,1.0,1.0,1.0,0,,40,개방식 담보사채
KO-FIN-00104,개방형 리포의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.,"Untuk mengetahui apakah Laporan Terbuka berlaku, perlu memeriksa isi Kontrak dan peraturan perundang-undangan yang terkait.",개방형 리포;계약,개방형 리포,True,법률·계약,,1.0,1.0,1.0,0,,30,개방형 리포;계약
