lang,sentence_id,ko_source,nllb_baseline_mt,nllb_baseline_score,pipeline_mt,pipeline_score,comet_diff,nllb_back_ko,pipeline_back_ko,nllb_labse_sim,pipeline_labse_sim,labse_diff,max_suspicion_score,target_term,candidate,provider,sense_id,n_senses,nllb_consistency_labse,repaired_mt,repaired_comet_score,repaired_labse_sim,comet_up,labse_up,verdict,reason
tgl_Latn,KO-FIN-00305,고객예탁증권이 무엇인지 설명해 주세요.,Ipaliwanag mo kung ano ang customer deposit certificate.,0.8571064472198486,Ipaliwanag kung ano ang Mga pasilidad ng customer..,0.4767281711101532,-0.3803782761096954,고객 보증증서가 무엇인지 설명해 주세요.,고객 시설에 대해 설명해 주세요,0.9389482736587524,0.6676274538040161,-0.2713208198547363,20,고객예탁증권,mga sekuridad na inilagak ng kustomer,gemini,402.0,1.0,0.33224666118621826,Ipaliwanag mo kung ano ang mga sekuridad na inilagak ng kustomer.,0.5304228067398071,0.8088021278381348,True,True,approved,
tgl_Latn,KO-FIN-01278,무담보사채의 조건과 수익 구조를 확인하고 싶습니다.,Gusto kong suriin ang mga kondisyon at istraktura ng kita ng mga utang na walang garantiya.,0.8635640144348145,Gusto kong suriin ang mga kondisyon at istraktura ng kita ng Walang pakialam..,0.4971175491809845,-0.3664464652538299,저는 무보증 대출의 조건과 수익 구조를 살펴보고 싶습니다.,저는 무관심의 조건과 소득 구조를 조사하고 싶습니다.,0.9457287788391112,0.8833640813827515,-0.0623646974563598,40,무담보사채,walang kolateral na bono,gemini,622.0,1.0,0.3693942129611969,Gusto kong suriin ang mga kondisyon at istraktura ng kita ng walang kolateral na bono.,0.6808862090110779,0.9695599675178528,True,True,approved,
mya_Mymr,KO-FIN-03262,증권거래세와 관련된 시장 정보를 확인하고 싶습니다.,စတော့အခွန်နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို ကြည့်ချင်တယ်။,0.8686938881874084,ဒါက စတော့စျေးကွက်ပါ။ နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို စစ်ဆေးချင်ပါတယ်။,0.5472230911254883,-0.3214707970619201,저는 증권세와 관련된 시장 데이터를 보고 싶었습니다.,이건 주식 시장입니다. 그리고 저는 시장 데이터를 테스트하고 싶었습니다.,0.9191826581954956,0.6990835070610046,-0.2200991511344909,40,증권거래세,အာမခံစာချုပ် အရောင်းအဝယ်အခွန်,gemini,694.0,1.0,0.32910048961639404,အာမခံစာချုပ် အရောင်းအဝယ်အခွန် နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို စစ်ဆေးချင်ပါတယ်။,0.7111711502075195,0.8530629873275757,True,True,approved,
tgl_Latn,KO-FIN-00185,결제리스크 관리제도가 무엇인지 설명해 주세요.,Ipaliwanag mo kung ano ang isang sistema ng pamamahala ng panganib sa pagbabayad.,0.7599416971206665,Ipaliwanag kung ano ang Ang pagmamaneho ng panganib sa pagbabayad.,0.454733282327652,-0.3052084147930145,결제 위험 관리 시스템이 무엇인지 설명하세요.,지불에 대한 위험 운전이 무엇인지 설명해 주세요.,0.8490526676177979,0.7182620763778687,-0.1307905912399292,40,결제리스크 관리제도,Sistema ng Pamamahala ng Risko sa Pag-aayos,gemini,139.0,1.0,0.5222384929656982,Ipaliwanag kung ano ang Sistema ng Pamamahala ng Risko sa Pag-aayos.,0.6415551900863647,0.7314370274543762,True,True,approved,
tgl_Latn,KO-FIN-00609,규정재정이 금융거래에 어떻게 적용되나요?,Paano ang mga regulasyon ay naaangkop sa pangangalakal sa pananalapi?,0.8201560378074646,Paano ito nalalapat sa pananalapi?,0.5166495442390442,-0.3035064935684204,법규는 금융에 어떻게 적용되나요?,이것은 어떻게 재정적으로 적용될까요?,0.8965780735015869,0.6618755459785461,-0.2347025275230407,40,규정재정,,,,,,,,,,,abstain,"LLM 실패: LLMUnavailable(""Gemini와 Groq 둘 다 실패: GroqUnavailable('GROQ_API_KEY가 .env에 없습니다. https://console.groq.com/keys 에서 발급 후 .env에 넣어주세요.')"")"
tgl_Latn,KO-FIN-02865,자본잉여금이 무엇인지 설명해 주세요.,Ipaliwanag sa akin kung ano ang kapital surplus.,0.8607749938964844,Ipaliwanag kung ano ang Ang mga kapital na dagdag.,0.5665743350982666,-0.2942006587982178,자본의 잉여가 무엇인지 설명해 주세요.,부가자본이 무엇인지 설명해 주세요.,0.9186239242553712,0.8895301818847656,-0.0290937423706054,20,자본잉여금,sobrang puhunan,gemini,682.0,1.0,0.26240983605384827,Ipaliwanag mo kung ano ang sobrang puhunan.,0.4824824631214142,0.5074594616889954,False,False,abstain,"comet_up=False, labse_up=False"
mya_Mymr,KO-FIN-00978,당일결제거래와 관련된 시장 정보를 확인하고 싶습니다.,တစ်နေ့တာ ငွေပေးချေမှုတွေနဲ့ ပတ်သက်တဲ့ စျေးကွက် သတင်းအချက်အလက်တွေကို ကြည့်ချင်တယ်။,0.8254382610321045,တစ်နေ့တာ စီမံကိန်းပါ။ နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို စစ်ဆေးချင်ပါတယ်။,0.5448920726776123,-0.2805461883544922,우리는 하루 동안의 거래에 대한 시장 정보를 보고 싶었습니다.,하루의 프로젝트입니다. 시장 데이터를 확인하고 싶습니다.,0.8206613063812256,0.7068814039230347,-0.1137799024581909,40,당일결제거래,,,,,,,,,,,abstain,"LLM 실패: LLMUnavailable(""Gemini와 Groq 둘 다 실패: GroqUnavailable('GROQ_API_KEY가 .env에 없습니다. https://console.groq.com/keys 에서 발급 후 .env에 넣어주세요.')"")"
tgl_Latn,KO-FIN-03777,통일규격유가증권이 무엇인지 설명해 주세요.,Ipaliwanag sa akin kung ano ang Uniform Tax Credit.,0.7332783341407776,Ipaliwanag kung ano ang Pangkalahatang Boto ng Pag-aari.,0.4651995003223419,-0.2680788338184356,유니폼 세금 신용은 무엇인지 설명해 주세요.,일반 소유권이란 무엇인지를 설명하세요.,0.7248694896697998,0.6475239992141724,-0.0773454904556274,40,통일규격유가증권,Pamantayang sertipiko ng stock,gemini,284.0,1.0,0.19902902841567993,Ipaliwanag mo kung ano ang Pamantayang sertipiko ng stock.,0.5226191878318787,0.7472076416015625,True,True,approved,
tgl_Latn,KO-FIN-03273,증권금융이 무엇인지 설명해 주세요.,Ipaliwanag kung ano ang securities financing.,0.8330439329147339,Ipaliwanag kung ano ang Pinansiyal na securities.,0.568755030632019,-0.2642889022827148,증권금융이란 무엇인가요?,금융 증권이란 무엇인가요?,0.7950433492660522,0.7456528544425964,-0.0493904948234558,20,증권금융,pananalapi ng mga seguridad,gemini,1007.0,1.0,0.5246171951293945,Ipaliwanag mo kung ano ang pananalapi ng mga seguridad.,0.5107044577598572,0.7950432896614075,False,True,abstain,"comet_up=False, labse_up=True"
tgl_Latn,KO-FIN-01881,소수주주권이 무엇인지 설명해 주세요.,Ipaliwanag kung ano ang minority ownership.,0.8305200338363647,Ipaliwanag kung ano ang Pangkalahatang Soberanyo.,0.5712401866912842,-0.2592798471450805,소수 소유가 무엇인지 설명해 주세요.,세계적 주권이란 무엇인지를 설명해 보십시오.,0.9308565855026244,0.7169281244277954,-0.2139284610748291,20,소수주주권,karapatan ng minoryang stockholder,gemini,649.0,1.0,0.4896773099899292,Ipaliwanag mo kung ano ang karapatan ng minoryang stockholder.,0.7026107311248779,0.7862502336502075,True,True,approved,
