ko_term,lang,term_text,back_translation_ko,similarity,len_ratio,is_short,is_dup,suspicion_score,reasons
간주,tha_Thai,ถือว่า,어떻게 될까요?,0.0,4.0,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(4.00)
경개,mya_Mymr,စွန်ငှက်။,독수리입니다.,0.0,3.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(3.50)
공모,tha_Thai,เชิญส่งผลงาน,결과물을 보내주세요.,0.0,5.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(5.50)
공채,tha_Thai,รับสมัครงานแบบเปิด,공개된 취업 신청서,0.167,5.0,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.17); 길이비 이상(5.00)
기세,mya_Mymr,စေ့ဆော်မှု။,영감을 얻습니다.,0.0,4.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(4.50)
납회,tha_Thai,พิธีปิด,행사는 끝났습니다.,0.0,5.0,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(5.00)
납회,mya_Mymr,ဖမ်းဆီးခံရတယ်။,체포되었습니다.,0.0,4.0,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(4.00)
딜러,mya_Mymr,အရောင်းသမား။,판매자입니다.,0.0,3.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(3.50)
만기,ind_Latn,Jatuh tempo,템포가 떨어졌어요,0.0,4.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(4.50)
배서,mya_Mymr,နောက်ကျောမှာ,뒤쪽에 있습니다.,0.0,4.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(4.50)
사모,vie_Latn,Quỹ đầu tư tư nhân,개인 투자 기금,0.0,4.0,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(4.00)
사모,tha_Thai,การเสนอขายหุ้นแบบส่วนตัว,개인 주식 판매 제안,0.0,5.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(5.50)
상환,tha_Thai,การชำระหนี้,빚을 갚는 것,0.0,3.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(3.50)
신탁,mya_Mymr,ယုံကြည်မှုပါ။,자신감입니다.,0.222,3.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.22); 길이비 이상(3.50)
예탁,vie_Latn,Gửi ký quỹ,보증금을 보내세요,0.0,4.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(4.50)
