sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00001,가격역지정 주문이 무엇을 의미하나요?,Ano ang ibig sabihin ng Mga order sa presyo?,가격역지정 주문,가격역지정 주문,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00005,가격우선의 원칙이 무엇을 의미하나요?,Ano ang ibig sabihin ng Ang Prinsipyo ng Pagmamay-ari ng presyo?,가격우선의 원칙,가격우선의 원칙,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00009,가격제한폭이 무엇을 의미하나요?,Ano ang ibig sabihin ng Mga limitasyon sa presyo?,가격제한폭,가격제한폭,True,금융시장·거래,,1.0,1.0,1.0,0,,0,
KO-FIN-00014,가교은행에서 이용할 수 있는 금융업무는 무엇인가요?,Ano ang mga serbisyo sa pananalapi na magagamit sa Ang mga bangko ng sasakyan?,가교은행,가교은행,True,금융기관·은행,,1.0,1.0,1.0,0,,40,가교은행
KO-FIN-00019,가산금리에 대해 상담받고 싶습니다.,Gusto kong kumunsulta tungkol sa Pag-aalaga ng mga hayop.,가산금리,가산금리,True,대출,,1.0,1.0,1.0,0,,40,가산금리
KO-FIN-00022,가쇄 처리 절차를 확인하고 싶습니다.,Gusto kong suriin ang proseso ng pagproseso.,가쇄,가쇄,True,증권·예탁,금융법규·감독,0.0,1.0,0.0,0,가쇄,70,가쇄
KO-FIN-00026,가압류의 조건과 수익 구조를 확인하고 싶습니다.,Gusto kong suriin ang mga kondisyon at istraktura ng kita ng Mga bituka.,가압류,가압류,True,채권,,1.0,1.0,1.0,0,,50,가압류
KO-FIN-00029,가중주가평균이 무엇인지 설명해 주세요.,Ipaliwanag kung ano ang Ang mga taong sobra sa timbang ay.,가중주가평균,가중주가평균,True,주식,금융시장·거래,1.0,1.0,1.0,0,,40,가중주가평균
KO-FIN-00033,간사단이 무엇인지 설명해 주세요.,Ipaliwanag kung ano ang Mga Tagapangasiwa.,간사단,간사단,True,증권·예탁,,1.0,1.0,1.0,0,,40,간사단
KO-FIN-00038,간사회사 처리 절차를 확인하고 싶습니다.,Gusto kong suriin ang proseso ng pagproseso.,간사회사,간사회사,True,증권·예탁,금융기관·은행,0.0,1.0,0.0,0,간사회사,40,간사회사
KO-FIN-00043,간접공시 때문에 추가로 확인해야 할 사항이 있나요?,Mayroon bang karagdagang mga bagay na dapat kong suriin dahil sa Sa pamamagitan ng hindi direktang pagpapakita?,간접공시,간접공시,True,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,40,간접공시
KO-FIN-00044,간접공시의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.,Ang saklaw ng Sa pamamagitan ng hindi direktang pagpapakita ay maaaring mag-iiba depende sa mga kaugnay na batas at regulasyon.,간접공시,간접공시,True,금융법규·감독,금융시장·거래,1.0,1.0,1.0,0,,40,간접공시
KO-FIN-00046,간접금융에서 이용할 수 있는 금융업무는 무엇인가요?,Ano ang mga serbisyo sa pananalapi na magagamit sa Hindi direktang pagpopondo?,간접금융,간접금융,True,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00049,간접모집이 무엇인지 설명해 주세요.,Ipaliwanag kung ano ang Hindi direktang pag-aalaga.,간접모집,간접모집,True,증권·예탁,,1.0,1.0,1.0,0,,20,간접모집
KO-FIN-00054,간접발행을 이용하려면 어떤 조건이 필요한가요?,Ano ang mga kundisyon para magamit ang Di-tuwid na pag-akyat?,간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,40,간접발행
KO-FIN-00055,간접발행과 관련된 비용과 절차를 확인하고 싶습니다.,Gusto kong suriin ang mga gastos at pamamaraan na nauugnay sa Di-tuwid na pag-akyat.,간접발행,간접발행,True,기업금융·자본조달,,1.0,1.0,1.0,0,,40,간접발행
KO-FIN-00058,간접점유 처리 절차를 확인하고 싶습니다.,Gusto kong suriin ang proseso ng pagproseso.,간접점유,간접점유,True,증권·예탁,법률·계약 / 금융법규·감독,0.0,1.0,0.0,0,간접점유,20,간접점유
KO-FIN-00064,간접참가자를 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.,"Kapag sinusuri mo ang Ang mga hindi direktang kasapi, suriin ang mga kondisyon ng merkado at ang mga kondisyon ng kalakalan.",간접참가자,간접참가자,True,금융시장·거래,,1.0,1.0,1.0,0,,40,간접참가자
