sentence_id,ko_source,target_sentence,terms_used,known_term,known_term_matched,category,related_category,identifier_survival_rate,identifier_order_preserved_rate,restore_success_rate,fallback_used,lost_terms,max_suspicion_score,flagged_terms
KO-FIN-00272,계약의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.,"Untuk mengetahui apakah Kontrak berlaku, perlu memeriksa isi Kontrak dan peraturan perundang-undangan yang terkait.",계약;계약,계약,True,법률·계약,,1.0,1.0,1.0,0,,30,계약;계약
KO-FIN-00389,공사채등록법이 무엇인지 설명해 주세요.,Tolong jelaskan apa itu Undang-Undang Pendaftaran Obligasi Perusahaan.,공사채등록법,공사채등록법,True,채권,,1.0,1.0,1.0,0,,0,
KO-FIN-00483,국민주와 관련해 투자 전에 확인해야 할 사항이 있나요?,Apakah ada hal-hal yang perlu diperiksa sebelum berinvestasi terkait Lagu Kebangsaan?,국민주,국민주,True,주식,,1.0,1.0,1.0,0,,20,국민주
KO-FIN-00618,근저당과 관련된 금리와 비용을 확인하고 싶습니다.,Saya ingin mengetahui suku bunga dan biaya yang terkait dengan Hak gadai atas tanah.,근저당,근저당,True,부동산금융,,1.0,1.0,1.0,0,,50,근저당
KO-FIN-00619,근저당을 이용할 때 필요한 서류는 무엇인가요?,Dokumen apa saja yang diperlukan untuk menggunakan Hak gadai atas tanah?,근저당,근저당,True,부동산금융,,1.0,1.0,1.0,0,,50,근저당
KO-FIN-00673,금융감독위원회/금융감독원이 금융거래에 어떻게 적용되나요?,Bagaimana Komisi Pengawasan Keuangan/Badan Pengawasan Keuangan diterapkan dalam transaksi keuangan ini?,금융감독위원회/금융감독원,금융감독위원회/금융감독원,True,금융법규·감독,,1.0,1.0,1.0,0,,0,
KO-FIN-00675,금융감독위원회/금융감독원 때문에 추가로 확인해야 할 사항이 있나요?,Apakah ada hal lain yang perlu diperiksa terkait Komisi Pengawasan Keuangan/Badan Pengawasan Keuangan?,금융감독위원회/금융감독원,금융감독위원회/금융감독원,True,금융법규·감독,,1.0,1.0,1.0,0,,0,
KO-FIN-00738,금융통화운영위원회에서 이용할 수 있는 금융업무는 무엇인가요?,Layanan keuangan apa saja yang tersedia di Komite Kebijakan Moneter dan Keuangan?,금융통화운영위원회,금융통화운영위원회,True,금융기관·은행,,1.0,1.0,1.0,0,,0,
KO-FIN-00978,당일결제거래와 관련된 시장 정보를 확인하고 싶습니다.,Saya ingin memeriksa informasi pasar terkait Transaksi dengan pembayaran pada hari yang sama.,당일결제거래,당일결제거래,True,금융시장·거래,지급결제·청산,1.0,1.0,1.0,0,,40,당일결제거래
KO-FIN-01278,무담보사채의 조건과 수익 구조를 확인하고 싶습니다.,Saya ingin mengetahui syarat dan struktur keuntungan dari Obligasi tanpa jaminan.,무담보사채,무담보사채,True,채권,,1.0,1.0,1.0,0,,40,무담보사채
KO-FIN-01361,발기인이 무엇인지 설명해 주세요.,Tolong jelaskan apa itu Pendiri.,발기인,발기인,True,주식,,1.0,1.0,1.0,0,,40,발기인
KO-FIN-01561,부실채권 정리기금이 무엇인지 설명해 주세요.,Tolong jelaskan apa itu Dana Penanganan Kredit Macet.,부실채권 정리기금,부실채권 정리기금,True,채권,,1.0,1.0,1.0,0,,20,부실채권 정리기금
